categories,subcategories,bedrooms,bathrooms,building_size,land_size,num_floors,furnished,geo_point,page_url,parent_url,ac_unit,balcony,yard,security,pool,price
house,"[""house"",""single-family-house""]",3,2,70.0,57.0,,,"[106.81851,-6.37715]",https://www.lamudi.co.id/rumah-2lantai-modern-dekat-pintu-tol-kukusan-169630944511.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,yes,yes,yes,,895000000
house,"[""house"",""single-family-house""]",1,1,21.0,50.0,,,"[106.78889,-6.43778]",https://www.lamudi.co.id/rumah-mezzanine-hanya-20-menit-dari-pintu-tol-desa-169119851988.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,,,yes,yes,,265000000
house,"[""house"",""single-family-house""]",2,2,70.0,60.0,,,"[106.81139,-6.38417]",https://www.lamudi.co.id/rumah-2-lantai-fasilitas-cluster-ready-stok-mulai-169709079763.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,,yes,yes,yes,900000000
house,"[""house"",""single-family-house""]",3,2,120.0,267.0,,,"[106.84333,-6.42694]",https://www.lamudi.co.id/dijual-rumah-nyaman-siap-huni-lokasi-cilodong-depo-170904557992.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,yes,,yes,,,1400000000
house,"[""house"",""single-family-house""]",2,1,50.0,88.0,,,"[106.79126,-6.38868]",https://www.lamudi.co.id/dijual-rumah-murah-dan-siap-huni-di-pancoran-mas-d-17016590418.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,yes,yes,,750000000
house,"[""house"",""townhouse""]",3,2,80.0,72.0,,,"[106.843995,-6.396921]",https://www.lamudi.co.id/rumah-2-lantai-mewah-lokasi-strategis-kemang-depok-169234530226.html,https://www.lamudi.co.id/west-java/depok/sukmajaya/house/buy/,yes,,yes,yes,,885000000
house,"[""house"",""single-family-house""]",2,1,46.0,70.0,,,"[106.81327,-6.40844]",https://www.lamudi.co.id/rumah-di-depok-unit-ready-stok-cash-dan-kpr-170502335554.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,yes,yes,,580000000
house,"[""house"",""single-family-house""]",2,1,80.0,97.0,,,"[106.78403,-6.36814]",https://www.lamudi.co.id/komplek-limo-depok-1-km-ke-pintu-tol-limo-170687866447.html,https://www.lamudi.co.id/west-java/depok/limo/house/buy/,,,,,,750000000
house,"[""house"",""townhouse""]",3,2,60.0,50.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-dijual-sawangan-depok-cluster-townhouse-kpr-168110121970.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,yes,,yes,yes,,595000000
house,"[""house"",""single-family-house""]",2,1,50.0,84.0,,123,"[106.77444,-6.40278]",https://www.lamudi.co.id/cluster-ekslusif-tanpa-dp-akses-2-mobil-super-lega-169280335769.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,625000000
house,"[""house"",""single-family-house""]",2,1,70.0,101.0,,,"[106.737611,-6.393434]",https://www.lamudi.co.id/dijual-rumah-idaman-8-menit-ke-mall-the-park-sawan-170911642361.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,810000000
house,"[""house"",""single-family-house""]",4,4,200.0,280.0,2.0,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-2-lantai-hanya-9-menit-ke-sari-plaza-bojongs-170194992319.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,2500000000
house,"[""house"",""townhouse""]",2,2,60.0,45.0,,,"[106.7791,-6.3908]",https://www.lamudi.co.id/rumah-di-depok-dekat-pintu-tol-surat-shm-17071265513.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,yes,yes,yes,yes,,600000000
house,"[""house"",""single-family-house""]",3,2,54.0,70.0,2.0,,"[106.84333,-6.42694]",https://www.lamudi.co.id/rumah-besar-2-lantai-murah-lokasi-strategis-dekat-jakarta.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,yes,,yes,yes,,626000000
house,"[""house"",""single-family-house""]",5,4,108.0,205.0,2.0,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-area-sawangan-dekat-tol-pamulang-legalitas-s-17068729736.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,,yes,,1900000000
house,"[""house"",""single-family-house""]",3,1,140.0,100.0,,,"[106.808195,-6.394443]",https://www.lamudi.co.id/dijual-rumah-pancoran-mas-depok-nego-sampai-putus-170252779283.html,https://www.lamudi.co.id/west-java/depok/pancoran-mas/house/buy/,,,,yes,,975000000
