lokasi,harga,kamar_tidur,kamar_mandi,luas_bangunan,rumah_luas_lahan,keamanan24jam,taman,lahan_parkir,balcony,AC
sukmajaya,875000000,3.0,2.0,125.0,145.0,no,no,2.0,no,no
cimanggis,783000000,3.0,2.0,55.0,2000.0,yes,yes,1.0,yes,yes
cimanggis,500000000,2.0,1.0,40.0,62.0,yes,yes,1.0,no,yes
tapos,735000000,3.0,2.0,80.0,50.0,no,no,1.0,no,no
pancoran mas,350000000,2.0,1.0,45.0,57.0,yes,yes,1.0,no,no
cipayung,440000000,2.0,1.0,40.0,71.0,yes,yes,1.0,no,no
cimanggis,750000000,2.0,2.0,68.0,54.0,no,yes,1.0,yes,yes
tapos,940000000,4.0,4.0,70.0,82.0,yes,no,1.0,yes,no
cimanggis,1250000000,2.0,3.0,78.0,98.0,yes,yes,1.0,no,no
sukmajaya,887250000,3.0,2.0,66.0,66.0,yes,yes,1.0,yes,no
cimanggis,870000000,3.0,2.0,88.0,48.0,no,no,1.0,yes,no
bojongsari,345000000,1.0,1.0,30.0,30.0,no,no,1.0,no,no
cilodong,466000000,2.0,1.0,36.0,68.0,yes,yes,1.0,no,no
sawangan,486000000,2.0,1.0,42.0,60.0,yes,yes,1.0,no,no
tapos,680000000,2.0,2.0,64.0,62.0,yes,yes,1.0,yes,no
bojongsari,600000000,3.0,2.0,60.0,66.0,yes,yes,1.0,yes,yes
cipayung,236000000,2.0,1.0,21.0,50.0,yes,yes,1.0,no,no
sukmajaya,1600000000,4.0,3.0,140.0,160.0,no,no,2.0,no,no
cimanggis,1380000000,3.0,2.0,89.0,90.0,yes,yes,1.0,yes,no
beji,820000000,3.0,2.0,59.0,52.0,yes,yes,1.0,yes,no
cilodong,760000000,3.0,2.0,60.0,90.0,no,no,2.0,no,no
beji,360000000,2.0,1.0,36.0,60.0,no,yes,1.0,no,no
sukmajaya,495000000,3.0,2.0,91.0,107.0,no,no,1.0,no,no
beji,1050500000,3.0,2.0,80.0,60.0,no,no,1.0,no,no
cimanggis,755000000,3.0,2.0,62.0,63.0,no,no,1.0,no,no
cimanggis,775000000,3.0,2.0,56.0,3.0,yes,yes,1.0,no,no
beji,2899000000,13.0,13.0,250.0,99.0,yes,no,1.0,no,yes
pancoran mas,1700000000,4.0,4.0,200.0,150.0,no,no,2.0,no,no
cilodong,528000000,2.0,1.0,40.0,66.0,yes,yes,1.0,no,yes
bojongsari,2000000000,3.0,4.0,109.0,140.0,yes,yes,2.0,yes,no
tapos,405000000,2.0,1.0,36.0,60.0,no,yes,1.0,no,no
depok,900000000,3.0,1.0,114.0,104.0,no,no,1.0,no,no
cilodong,825000000,3.0,2.0,54.0,65.0,no,no,1.0,no,no
cimanggis,859250000,2.0,2.0,51.0,66.0,no,no,1.0,no,no
sawangan,449000000,3.0,2.0,44.0,50.0,yes,no,1.0,no,yes
sawangan,476500000,3.0,2.0,44.0,55.0,yes,no,1.0,no,yes
sukmajaya,887250000,3.0,3.0,66.0,66.0,no,no,1.0,no,no
cinere,13000000000,5.0,5.0,592.0,1000.0,yes,yes,1.0,no,yes
sukmajaya,915000000,3.0,3.0,80.0,71.0,yes,yes,1.0,yes,yes
cilodong,599900000,3.0,2.0,54.0,60.0,no,yes,1.0,no,no
cinere,2350000000,5.0,3.0,160.0,132.0,no,no,1.0,no,no
bojongsari,1500000000,3.0,3.0,79.0,120.0,yes,yes,2.0,yes,no
beji,773382434,2.0,2.0,42.0,44.0,no,no,1.0,no,no
cilodong,750000000,3.0,2.0,63.0,83.0,no,no,1.0,no,no
cilodong,695000000,2.0,1.0,60.0,75.0,no,no,1.0,no,no
cimanggis,866606000,2.0,1.0,42.0,70.0,no,no,1.0,no,no
cinere,7000000000,4.0,4.0,200.0,420.0,yes,yes,1.0,no,yes
sawangan,594000000,2.0,1.0,45.0,60.0,yes,yes,1.0,yes,yes
cinere,3700000000,4.0,3.0,400.0,380.0,no,yes,1.0,no,no
sukmajaya,610000000,2.0,1.0,61.0,40.0,no,no,1.0,no,no
sawangan,800000000,3.0,2.0,66.0,77.0,no,yes,1.0,no,yes
sawangan,800000000,3.0,3.0,101.0,77.0,yes,yes,2.0,yes,yes
sukmajaya,915000000,3.0,3.0,80.0,72.0,yes,yes,1.0,yes,yes
sukmajaya,953000000,3.0,2.0,84.0,80.0,no,no,1.0,no,no
tapos,899000000,3.0,2.0,74.0,64.0,no,no,2.0,no,no
beji,875000000,3.0,2.0,65.0,100.0,yes,no,1.0,no,no
depok,1100000000,3.0,3.0,100.0,89.0,yes,yes,1.0,yes,yes
pancoran mas,780000000,3.0,2.0,70.0,60.0,no,no,1.0,no,no
pancoran mas,685000000,2.0,2.0,60.0,90.0,yes,yes,1.0,no,yes
cimanggis,1250000000,3.0,2.0,100.0,135.0,no,no,1.0,no,no
tapos,925000000,3.0,3.0,80.0,83.0,yes,yes,1.0,yes,yes
sawangan,900000000,3.0,3.0,78.0,101.0,yes,yes,1.0,yes,yes
pancoran mas,896000000,3.0,2.0,60.0,66.0,yes,yes,2.0,no,no
sawangan,513500000,2.0,1.0,38.0,70.0,no,no,1.0,no,no
sawangan,950000000,3.0,2.0,110.0,67.0,no,no,1.0,no,no
cipayung,412000000,2.0,1.0,48.0,60.0,no,no,1.0,no,no
cimanggis,600000000,3.0,2.0,56.0,63.0,no,yes,1.0,no,no
bojongsari,635000000,2.0,2.0,40.0,60.0,yes,yes,1.0,no,no
tapos,950000000,3.0,2.0,67.0,70.0,no,yes,1.0,no,no
sawangan,348000000,2.0,1.0,36.0,77.0,yes,yes,1.0,yes,yes
pancoran mas,674000000,3.0,2.0,60.0,62.0,no,no,1.0,no,no
cinere,2900000000,5.0,4.0,250.0,300.0,yes,yes,2.0,no,no
cinere,1500000000,3.0,3.0,120.0,90.0,no,no,1.0,no,no
sukmajaya,1000000000,4.0,3.0,172.0,90.0,no,no,1.0,no,yes
sawangan,790000000,3.0,2.0,98.0,83.0,no,yes,2.0,yes,no
cipayung,200000000,2.0,1.0,30.0,30.0,no,no,1.0,no,no
sawangan,645000000,3.0,2.0,55.0,60.0,no,no,1.0,no,no
cimanggis,818588000,3.0,2.0,60.0,63.0,yes,no,1.0,no,no
depok,409000000,2.0,1.0,36.0,46.0,yes,yes,1.0,no,no
sukmajaya,1300000000,4.0,3.0,220.0,110.0,no,no,2.0,no,no
sawangan,285000000,2.0,1.0,38.0,60.0,no,yes,1.0,no,no
cipayung,265000000,2.0,1.0,38.0,55.0,yes,yes,1.0,no,no
cilodong,765000000,3.0,2.0,75.0,60.0,no,yes,1.0,no,yes
sukmajaya,690000000,2.0,1.0,60.0,78.0,no,no,1.0,no,no
sawangan,473000000,2.0,2.0,40.0,50.0,yes,yes,2.0,yes,no
cilodong,875000000,3.0,2.0,90.0,80.0,yes,yes,1.0,yes,yes
sukmajaya,886000000,2.0,2.0,51.0,71.0,yes,yes,1.0,yes,yes
sawangan,450000000,2.0,1.0,50.0,70.0,no,yes,1.0,no,no
sawangan,1320000000,3.0,3.0,90.0,123.0,yes,yes,1.0,no,yes
sukmajaya,775000000,3.0,2.0,121.0,60.0,no,no,1.0,no,no
cinere,1300000000,4.0,4.0,130.0,90.0,yes,yes,2.0,yes,no
cilodong,200000000,1.0,1.0,26.0,40.0,no,no,1.0,no,no
cilodong,180000000,2.0,1.0,35.0,40.0,no,no,1.0,no,no
cimanggis,850000000,2.0,1.0,48.0,84.0,no,no,1.0,no,no
cimanggis,699000000,2.0,1.0,47.0,77.0,no,yes,1.0,no,no
tapos,860000000,3.0,3.0,60.0,75.0,yes,yes,2.0,yes,no
cimanggis,799000000,3.0,3.0,60.0,67.0,yes,no,2.0,yes,no
cilodong,625000000,2.0,1.0,50.0,74.0,no,no,1.0,no,no
tapos,450000000,2.0,1.0,42.0,80.0,no,no,1.0,no,yes
sawangan,387000000,2.0,1.0,42.0,52.0,yes,yes,1.0,no,yes
tapos,650000000,2.0,1.0,40.0,80.0,yes,yes,1.0,no,yes
sukmajaya,390000000,2.0,1.0,38.0,70.0,yes,yes,1.0,no,yes
sawangan,175000000,2.0,1.0,35.0,35.0,yes,yes,1.0,no,no
sawangan,550000000,2.0,1.0,54.0,84.0,yes,no,1.0,no,no
cipayung,195000000,2.0,1.0,40.0,60.0,yes,yes,1.0,yes,yes
beji,455000000,3.0,1.0,100.0,113.0,no,no,1.0,no,no
sawangan,1200000000,3.0,2.0,115.0,66.0,yes,yes,1.0,yes,yes
cimanggis,630000000,2.0,1.0,48.0,72.0,no,no,1.0,no,no
cimanggis,950000000,3.0,2.0,69.0,73.0,no,yes,1.0,no,no
sukmajaya,857000000,2.0,2.0,51.0,72.0,no,yes,1.0,no,yes
sukmajaya,1500000000,4.0,3.0,95.0,150.0,yes,yes,1.0,yes,yes
cilodong,915000000,3.0,3.0,80.0,75.0,yes,yes,1.0,yes,yes
cilodong,650000000,2.0,1.0,38.0,60.0,no,no,2.0,no,no
cimanggis,1090559600,3.0,2.0,70.0,81.0,no,no,1.0,no,no
pancoran mas,4200000000,3.0,2.0,104.0,200.0,no,no,1.0,no,no
depok,185000000,2.0,1.0,36.0,50.0,yes,yes,1.0,no,yes
cilodong,530000000,2.0,1.0,40.0,66.0,no,yes,1.0,no,yes
beji,1680000000,3.0,1.0,103.0,133.0,no,no,1.0,no,no
pancoran mas,1140800000,3.0,2.0,80.0,78.0,yes,yes,1.0,no,no
tapos,790000000,3.0,2.0,72.0,60.0,yes,yes,1.0,yes,yes
beji,850000000,3.0,2.0,68.0,72.0,yes,yes,1.0,yes,no
cilodong,800000000,3.0,2.0,60.0,120.0,no,yes,1.0,no,yes
cinere,1500000000,3.0,2.0,130.0,125.0,no,no,1.0,no,no
sawangan,598000000,2.0,1.0,38.0,68.0,yes,yes,1.0,no,no
pancoran mas,1200000000,3.0,3.0,90.0,100.0,no,no,1.0,no,no
pancoran mas,1050000000,3.0,2.0,84.0,100.0,no,yes,2.0,yes,no
bojongsari,2500000000,4.0,4.0,185.0,144.0,yes,yes,2.0,yes,no
bojongsari,700000000,3.0,2.0,60.0,60.0,yes,yes,1.0,yes,no
cilodong,360000000,2.0,2.0,42.0,40.0,no,yes,1.0,no,no
cilodong,750000000,3.0,2.0,60.0,60.0,no,yes,1.0,yes,yes
depok,750000000,2.0,2.0,198.0,134.0,no,no,1.0,no,no
limo,850000000,5.0,2.0,115.0,72.0,yes,yes,1.0,yes,yes
sawangan,480000000,2.0,1.0,45.0,72.0,no,yes,1.0,no,no
sawangan,595000000,2.0,2.0,45.0,84.0,no,no,1.0,no,no
cimanggis,940110000,3.0,2.0,70.0,67.0,yes,yes,1.0,yes,no
cilodong,665197500,3.0,2.0,56.0,66.0,yes,yes,2.0,no,no
cilodong,1090000000,3.0,2.0,70.0,80.0,yes,no,1.0,no,no
cilodong,650000000,2.0,2.0,60.0,87.0,yes,yes,1.0,no,yes
cipayung,200000000,2.0,1.0,36.0,40.0,no,yes,1.0,yes,no
beji,1050000000,4.0,3.0,80.0,90.0,yes,yes,1.0,no,no
limo,999000000,3.0,3.0,72.0,96.0,no,no,1.0,no,no
depok,940000000,3.0,3.0,70.0,86.0,no,yes,1.0,no,no
pancoran mas,570000000,2.0,1.0,45.0,63.0,yes,yes,1.0,no,no
cimanggis,490000000,3.0,2.0,60.0,33.0,yes,yes,1.0,yes,no
sawangan,330000000,2.0,1.0,38.0,55.0,yes,yes,1.0,no,no
sukmajaya,720000000,3.0,2.0,65.0,36.0,yes,yes,1.0,no,no
tapos,1900000000,4.0,4.0,98.0,120.0,no,no,1.0,no,no
cilodong,650000000,2.0,2.0,50.0,80.0,no,no,1.0,no,no
beji,950000000,3.0,3.0,105.0,62.0,yes,yes,1.0,yes,no
bojongsari,1135000000,3.0,2.0,64.0,72.0,yes,yes,1.0,no,yes
cilodong,650000000,3.0,2.0,66.0,60.0,no,no,1.0,no,no
cilodong,600000000,5.0,2.0,150.0,120.0,no,no,1.0,no,no
sawangan,750000000,2.0,2.0,40.0,70.0,yes,no,1.0,no,yes
cilodong,651000000,2.0,1.0,45.0,75.0,no,yes,1.0,no,yes
cimanggis,1600000000,4.0,2.0,288.0,163.0,no,yes,1.0,yes,no
tapos,493000000,3.0,2.0,40.0,53.0,no,no,1.0,no,no
cilodong,750000000,3.0,2.0,75.0,60.0,no,no,1.0,no,no
cimanggis,1500000000,3.0,2.0,150.0,165.0,no,no,1.0,no,no
sawangan,1560000000,3.0,2.0,90.0,109.0,no,no,1.0,no,no
cilodong,973000000,3.0,2.0,75.0,85.0,no,no,1.0,no,no
sukmajaya,781000000,2.0,1.0,48.0,84.0,yes,yes,1.0,no,no
sukmajaya,800000000,3.0,2.0,70.0,104.0,yes,yes,1.0,no,yes
cinere,735000000,2.0,2.0,50.0,71.0,yes,yes,1.0,no,yes
sawangan,236000000,2.0,1.0,37.0,56.0,yes,yes,1.0,no,yes
cilodong,584000000,2.0,2.0,46.0,60.0,yes,yes,1.0,yes,no
cimanggis,790000000,3.0,2.0,63.0,60.0,yes,yes,1.0,yes,no
cimanggis,770000000,3.0,2.0,72.0,70.0,yes,yes,1.0,no,no
cimanggis,742982000,2.0,1.0,36.0,84.0,yes,yes,1.0,no,yes
cipayung,458000000,2.0,1.0,40.0,65.0,yes,yes,1.0,no,no
cinere,1525000000,4.0,4.0,120.0,77.0,no,yes,2.0,yes,no
cinere,1100000000,3.0,3.0,80.0,70.0,yes,yes,1.0,no,yes
sukmajaya,850000000,3.0,3.0,80.0,64.0,no,no,2.0,no,yes
cipayung,380400000,2.0,1.0,36.0,60.0,yes,yes,1.0,no,no
cimanggis,830451000,2.0,1.0,45.0,90.0,yes,yes,2.0,yes,yes
pancoran mas,650000000,2.0,1.0,45.0,75.0,no,no,1.0,no,no
pancoran mas,890000000,3.0,3.0,78.0,101.0,yes,yes,1.0,yes,yes
cipayung,425600000,2.0,1.0,40.0,72.0,yes,yes,1.0,no,no
cinere,1200000000,2.0,2.0,58.0,50.0,no,yes,1.0,no,no
beji,1495000000,4.0,4.0,130.0,98.0,yes,yes,1.0,yes,no
beji,750000000,2.0,2.0,55.0,45.0,yes,yes,1.0,no,no
tapos,499999999,2.0,1.0,40.0,62.0,yes,yes,1.0,no,yes
cimanggis,500000000,2.0,1.0,48.0,78.0,yes,yes,1.0,no,yes
beji,7500000000,7.0,6.0,350.0,1017.0,no,yes,4.0,no,yes
sawangan,335000000,2.0,1.0,40.0,60.0,yes,yes,4.0,no,no
limo,551550000,2.0,1.0,45.0,66.0,no,yes,1.0,no,no
sukmajaya,750000000,3.0,2.0,100.0,60.0,no,no,1.0,no,yes
sawangan,620000000,2.0,1.0,45.0,87.0,yes,no,1.0,no,no
cinere,1400000000,3.0,2.0,80.0,105.0,yes,yes,1.0,no,no
cipayung,185000000,2.0,1.0,36.0,50.0,yes,yes,1.0,no,no
cipayung,200000000,2.0,1.0,40.0,42.0,yes,yes,1.0,no,yes
cimanggis,1300000000,3.0,1.0,120.0,150.0,no,no,1.0,no,no
sukmajaya,350000000,2.0,1.0,72.0,50.0,no,no,1.0,no,no
sawangan,594000000,3.0,2.0,45.0,60.0,yes,no,1.0,yes,yes
bojongsari,865000000,3.0,2.0,80.0,108.0,yes,yes,1.0,no,no
cipayung,180000000,2.0,1.0,30.0,40.0,yes,yes,1.0,no,no
pancoran mas,600000000,2.0,1.0,45.0,75.0,no,yes,1.0,no,no
sawangan,576000000,2.0,1.0,45.0,84.0,no,yes,84.0,no,yes
cilodong,280000000,3.0,2.0,33.0,33.0,no,no,1.0,no,no
cimanggis,450000000,2.0,1.0,48.0,42.0,yes,yes,1.0,yes,yes
cinere,2600000000,5.0,3.0,250.0,240.0,yes,yes,1.0,no,yes
cimanggis,486000000,2.0,1.0,40.0,63.0,yes,yes,2.0,no,no
pancoran mas,330000000,2.0,1.0,50.0,50.0,no,no,1.0,no,no
cinere,1830000000,5.0,4.0,160.0,120.0,yes,yes,1.0,yes,no
cimanggis,1400000000,3.0,3.0,98.0,135.0,no,no,1.0,no,no
beji,592150000,2.0,1.0,45.0,73.0,no,yes,1.0,no,no
tapos,575400000,3.0,2.0,30.0,60.0,no,no,1.0,no,no
cimanggis,524000000,2.0,1.0,30.0,81.0,no,no,1.0,no,no
sawangan,245000000,2.0,1.0,36.0,60.0,yes,yes,1.0,no,no
cinere,780000000,3.0,2.0,70.0,60.0,yes,yes,1.0,no,no
pancoran mas,515000000,2.0,1.0,40.0,66.0,yes,yes,1.0,no,no
sawangan,490000000,2.0,1.0,40.0,60.0,yes,no,1.0,no,no
limo,977000000,4.0,3.0,110.0,83.0,no,yes,1.0,no,no
cinere,795000000,2.0,1.0,45.0,125.0,yes,no,1.0,no,no
bojongsari,545000000,2.0,1.0,40.0,66.0,no,no,1.0,no,no
sawangan,1200000000,5.0,4.0,120.0,112.0,yes,yes,2.0,no,yes
cinere,1750000000,3.0,2.0,110.0,96.0,no,no,1.0,yes,yes
sawangan,850000000,3.0,2.0,69.0,70.0,yes,no,2.0,no,no
sukmajaya,1050000000,3.0,3.0,80.0,78.0,yes,yes,1.0,yes,yes
bojongsari,600000000,3.0,2.0,66.0,70.0,yes,yes,2.0,yes,yes
pancoran mas,1180000000,3.0,2.0,110.0,102.0,no,no,1.0,no,no
cimanggis,1290000000,3.0,2.0,93.0,72.0,no,no,1.0,no,yes
cinere,1470000000,3.0,3.0,96.0,73.0,yes,yes,1.0,yes,yes
pancoran mas,800000000,4.0,1.0,90.0,111.0,no,no,1.0,no,no
sawangan,436000000,3.0,2.0,44.0,57.0,yes,yes,1.0,no,yes
sawangan,1279000000,2.0,2.0,75.0,84.0,yes,yes,2.0,no,yes
bojongsari,765000000,2.0,1.0,60.0,70.0,yes,yes,1.0,no,yes
beji,425000000,2.0,2.0,36.0,72.0,no,yes,1.0,no,yes
beji,1600000000,4.0,3.0,120.0,100.0,no,no,2.0,no,no
cimanggis,865000000,3.0,2.0,70.0,66.0,yes,yes,1.0,yes,no
sawangan,575000000,2.0,1.0,45.0,74.0,yes,yes,1.0,no,no
cinere,2400000000,4.0,3.0,150.0,101.0,yes,yes,1.0,yes,no
cinere,1770000000,4.0,4.0,110.0,84.0,no,no,1.0,no,no
sukmajaya,774000000,3.0,2.0,61.0,63.0,no,no,1.0,no,no
sukmajaya,1100000000,3.0,3.0,100.0,89.0,no,yes,1.0,yes,yes
sawangan,570000000,2.0,1.0,45.0,63.0,yes,no,1.0,no,no
depok,717000000,3.0,1.0,57.0,97.0,no,no,1.0,no,no
depok,2600000000,4.0,3.0,180.0,135.0,yes,yes,1.0,yes,yes
tapos,835000000,3.0,2.0,77.0,60.0,yes,yes,1.0,no,no
limo,670000000,2.0,1.0,55.0,77.0,no,no,1.0,no,no
cilodong,1050000000,3.0,3.0,120.0,89.0,yes,yes,1.0,yes,yes
pancoran mas,799000000,3.0,2.0,70.0,75.0,no,yes,1.0,no,no
sawangan,969000000,3.0,2.0,70.0,90.0,no,yes,1.0,no,no
sukmajaya,900000000,3.0,3.0,85.0,75.0,yes,yes,1.0,yes,yes
pancoran mas,735000000,2.0,3.0,57.0,84.0,no,no,1.0,no,no
cilodong,567644000,3.0,1.0,45.0,84.0,no,yes,1.0,no,no
cilodong,680000000,2.0,2.0,50.0,74.0,yes,yes,1.0,no,yes
cimanggis,575000000,3.0,2.0,60.0,50.0,yes,no,1.0,yes,no
cinere,7500000000,7.0,4.0,470.0,620.0,no,no,4.0,no,no
cinere,3600000000,3.0,2.0,100.0,227.0,no,no,1.0,no,no
sawangan,245000000,2.0,1.0,36.0,60.0,yes,yes,1.0,no,yes
pancoran mas,600000000,2.0,1.0,45.0,68.0,no,no,1.0,no,no
depok,650000000,3.0,2.0,60.0,102.0,no,no,1.0,no,no
tapos,570000000,2.0,1.0,45.0,73.0,yes,yes,1.0,yes,no
cimanggis,400000000,2.0,2.0,48.0,42.0,yes,yes,1.0,no,no
cilodong,775000000,3.0,2.0,85.0,70.0,no,yes,1.0,yes,yes
cilodong,810000000,3.0,2.0,70.0,70.0,yes,yes,1.0,no,yes
cilodong,658000000,3.0,2.0,54.0,70.0,no,no,1.0,no,no
cimanggis,1526200000,3.0,2.0,90.0,90.0,yes,yes,2.0,yes,yes
cimanggis,909919300,2.0,1.0,42.0,70.0,yes,yes,1.0,no,no
sukmajaya,1100000000,2.0,1.0,100.0,96.0,no,no,1.0,no,no
limo,1500000000,3.0,2.0,105.0,95.0,yes,yes,1.0,yes,yes
depok,650000000,2.0,1.0,70.0,128.0,no,no,1.0,no,no
depok,625000000,3.0,2.0,100.0,50.0,no,no,1.0,no,no
pancoran mas,577000000,2.0,1.0,48.0,72.0,yes,yes,1.0,no,no
tapos,400000000,2.0,2.0,42.0,40.0,yes,yes,1.0,no,no
bojongsari,594000000,2.0,1.0,45.0,60.0,no,yes,1.0,no,no
beji,820000000,2.0,2.0,50.0,54.0,yes,yes,1.0,no,no
beji,380000000,2.0,1.0,52.0,52.0,no,no,1.0,no,no
sukmajaya,585000000,2.0,1.0,45.0,60.0,no,yes,1.0,no,yes
bojongsari,440000000,2.0,1.0,39.0,72.0,yes,yes,1.0,no,no
sawangan,2208837500,4.0,4.0,180.0,120.0,no,no,2.0,yes,no
cinere,6300000000,5.0,6.0,430.0,484.0,no,no,4.0,no,no
cilodong,610000000,2.0,1.0,36.0,61.0,yes,yes,1.0,no,yes
bojongsari,917500000,2.0,1.0,45.0,84.0,yes,yes,1.0,no,no
depok,530000000,2.0,1.0,45.0,73.0,no,no,1.0,no,no
cilodong,796000000,3.0,2.0,56.0,60.0,yes,no,1.0,no,no
cimanggis,1048615000,2.0,3.0,70.0,82.0,yes,yes,1.0,no,yes
cipayung,180000000,2.0,1.0,30.0,41.0,no,no,1.0,no,yes
beji,693200000,3.0,2.0,60.0,75.0,yes,yes,1.0,yes,no
limo,654500000,2.0,1.0,45.0,73.0,yes,yes,1.0,no,no
cipayung,260000000,2.0,1.0,36.0,50.0,no,no,1.0,no,no
bojongsari,888300000,2.0,1.0,45.0,97.0,no,yes,1.0,no,no
beji,654500000,2.0,1.0,45.0,73.0,yes,yes,1.0,no,yes
cipayung,350000000,2.0,1.0,36.0,62.0,yes,yes,1.0,no,yes
sawangan,1300000000,4.0,3.0,150.0,136.0,no,no,1.0,no,no
cilodong,273000000,2.0,1.0,24.0,42.0,no,yes,1.0,no,no
limo,592150000,2.0,1.0,45.0,73.0,no,yes,1.0,no,no
cinere,2200000000,5.0,3.0,150.0,154.0,no,yes,2.0,yes,no
cilodong,920000000,3.0,3.0,80.0,78.0,yes,yes,1.0,yes,yes
cimanggis,1150000000,3.0,2.0,100.0,185.0,yes,yes,2.0,no,yes
beji,900000000,3.0,2.0,70.0,50.0,no,no,1.0,no,no
beji,1400000000,3.0,2.0,102.0,110.0,no,no,2.0,no,no
cilodong,600000000,2.0,1.0,48.0,68.0,no,no,1.0,no,no
tapos,556000000,2.0,2.0,46.0,40.0,no,no,1.0,no,no
sawangan,595000000,2.0,1.0,40.0,65.0,no,no,1.0,no,no
cinere,3897600000,5.0,4.0,228.0,94.0,no,no,3.0,no,no
bojongsari,195000000,2.0,1.0,40.0,60.0,yes,yes,1.0,yes,yes
cimanggis,900000000,2.0,1.0,80.0,75.0,no,no,2.0,no,yes
bojongsari,650000000,2.0,1.0,36.0,89.0,no,no,1.0,no,no
sukmajaya,789750000,3.0,2.0,55.0,60.0,no,no,1.0,no,no
bojongsari,870000000,3.0,1.0,131.0,140.0,yes,no,1.0,no,yes
cipayung,150000000,2.0,1.0,36.0,42.0,yes,no,1.0,no,no
sawangan,1100000000,3.0,2.0,75.0,150.0,yes,yes,2.0,no,no
tapos,480000000,3.0,2.0,72.0,60.0,yes,yes,1.0,yes,no
bojongsari,495000000,2.0,1.0,45.0,81.0,yes,yes,2.0,no,yes
cimanggis,1006000000,3.0,2.0,69.0,81.0,no,no,1.0,no,no
bojongsari,469800000,2.0,1.0,45.0,70.0,no,yes,1.0,no,no
cimanggis,385000000,2.0,1.0,30.0,50.0,no,yes,1.0,no,no
beji,900000000,3.0,2.0,70.0,57.0,yes,yes,1.0,yes,no
beji,823000000,3.0,2.0,56.0,82.0,yes,yes,1.0,yes,yes
sukmajaya,800000000,3.0,2.0,80.0,112.0,no,no,1.0,no,no
beji,980000000,3.0,2.0,71.0,76.0,yes,yes,1.0,yes,yes
sawangan,450000000,3.0,2.0,80.0,50.0,no,no,1.0,no,no
sukmajaya,887000000,3.0,2.0,66.0,66.0,yes,yes,1.0,no,yes
cimanggis,800000000,2.0,2.0,65.0,56.0,no,no,3.0,no,no
tapos,1400000000,4.0,2.0,288.0,163.0,yes,yes,1.0,yes,no
sukmajaya,842250000,4.0,2.0,65.0,60.0,yes,yes,1.0,yes,no
tapos,979987000,3.0,2.0,84.0,84.0,yes,yes,2.0,yes,yes
bojongsari,575000000,2.0,1.0,45.0,75.0,no,no,1.0,no,no
sawangan,695000000,3.0,1.0,63.0,72.0,yes,yes,1.0,yes,yes
cinere,779000000,3.0,2.0,56.0,68.0,yes,yes,1.0,yes,yes
sawangan,320000000,2.0,1.0,36.0,58.0,yes,yes,1.0,yes,yes
cilodong,717000000,3.0,1.0,75.0,96.0,no,no,1.0,no,no
cimanggis,707200000,3.0,2.0,95.0,49.0,no,no,1.0,no,no
sukmajaya,886000000,3.0,2.0,61.0,79.0,yes,yes,1.0,yes,no
sawangan,500000000,2.0,2.0,120.0,120.0,no,no,1.0,no,no
beji,795500000,3.0,2.0,47.0,51.0,yes,yes,1.0,yes,no
limo,875000000,3.0,3.0,90.0,60.0,yes,yes,1.0,yes,no
cilodong,825000000,3.0,2.0,75.0,60.0,yes,yes,1.0,yes,yes
depok,750000000,3.0,2.0,60.0,50.0,no,no,1.0,no,no
cilodong,465100000,2.0,2.0,4.0,43.0,no,no,1.0,yes,no
cilodong,497000000,2.0,2.0,40.0,47.0,no,no,1.0,no,no
cimanggis,775000000,3.0,2.0,56.0,63.0,yes,yes,1.0,no,yes
sukmajaya,850000000,3.0,2.0,66.0,66.0,no,yes,1.0,no,no
cilodong,900000000,3.0,3.0,70.0,75.0,no,yes,1.0,no,no
pancoran mas,950000000,4.0,3.0,110.0,82.0,yes,yes,2.0,no,yes
cilodong,975000000,3.0,2.0,64.0,84.0,yes,no,2.0,no,yes
cilodong,975200000,3.0,2.0,64.0,84.0,yes,yes,1.0,yes,no
sawangan,20000000000,6.0,3.0,372.0,3300.0,no,yes,3.0,yes,no
cimanggis,1382000000,3.0,2.0,88.0,71.0,no,no,1.0,no,no
cilodong,670500000,2.0,1.0,45.0,78.0,no,no,1.0,no,no
sawangan,2900000000,4.0,4.0,179.0,144.0,yes,yes,2.0,yes,yes
bojongsari,1100000000,5.0,2.0,107.0,159.0,no,no,1.0,no,no
limo,1475000000,5.0,3.0,150.0,151.0,yes,no,1.0,no,no
sukmajaya,1560000000,4.0,3.0,145.0,115.0,yes,no,1.0,no,no
bojongsari,780000000,2.0,1.0,45.0,90.0,yes,yes,2.0,no,no
cimanggis,3950000000,5.0,6.0,450.0,480.0,no,no,1.0,no,no
cimanggis,740000000,3.0,2.0,63.0,55.0,no,no,1.0,no,no
cilodong,532000000,2.0,1.0,40.0,56.0,no,no,1.0,no,no
sawangan,845000000,3.0,2.0,60.0,70.0,no,no,2.0,no,no
tapos,1163640000,3.0,3.0,80.0,80.0,no,no,1.0,no,no
cimanggis,1442000000,3.0,2.0,88.0,67.0,no,no,2.0,no,no
cinere,1546000000,2.0,2.0,64.0,98.0,no,no,1.0,no,no
cimanggis,800000000,2.0,2.0,51.0,72.0,no,no,5.0,no,no
cimanggis,800000000,2.0,2.0,54.0,60.0,no,no,1.0,no,no
depok,1250000000,4.0,3.0,120.0,90.0,no,no,2.0,no,no
pancoran mas,1700000000,4.0,2.0,94.0,72.0,no,yes,1.0,no,no
