lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
beji,3,3,130.0,98.0,no,yes,yes,yes,1300000000
pancoran mas,2,1,36.0,72.0,yes,yes,no,no,819000000
bojongsari,3,3,79.0,120.0,yes,yes,yes,no,1500000000
cimanggis,3,2,66.0,86.0,no,no,no,no,951000000
cinere,4,4,130.0,100.0,yes,yes,yes,yes,1700000000
beji,2,1,45.0,73.0,yes,yes,no,yes,654500000
cimanggis,3,1,100.0,120.0,no,no,no,no,850000000
bojongsari,3,2,73.0,72.0,yes,yes,yes,no,1170000000
sukmajaya,2,1,60.0,78.0,no,no,no,no,690000000
cilodong,3,1,75.0,96.0,no,no,no,no,717000000
bojongsari,2,1,36.0,60.0,no,no,no,no,225000000
sawangan,3,2,60.0,66.0,no,no,no,no,947000000
cilodong,2,1,40.0,84.0,no,yes,no,yes,489000000
beji,3,3,105.0,62.0,yes,yes,yes,no,950000000
bojongsari,2,1,40.0,66.0,no,no,no,no,545000000
sawangan,2,1,54.0,84.0,yes,no,no,no,550000000
pancoran mas,2,1,45.0,80.0,yes,yes,no,no,660000000
beji,3,2,90.0,80.0,yes,yes,yes,yes,875000000
sawangan,2,1,42.0,72.0,yes,yes,no,no,780000000
sawangan,2,1,40.0,60.0,yes,yes,no,no,275000000
cilodong,3,2,54.0,61.0,yes,yes,yes,yes,685000000
pancoran mas,3,2,45.0,40.0,no,yes,no,no,499000000
sukmajaya,3,3,75.0,80.0,yes,no,yes,yes,950000000
cilodong,2,1,42.0,78.0,yes,yes,no,yes,550000000
cilodong,2,1,40.0,50.0,no,no,no,no,459500000
sawangan,2,1,40.0,72.0,yes,yes,no,yes,480000000
cilodong,3,2,94.0,118.0,no,no,no,no,1450000000
bojongsari,3,3,87.0,97.0,yes,yes,yes,no,1446000000
cimanggis,2,1,45.0,90.0,yes,yes,yes,yes,830451000
bojongsari,2,1,45.0,60.0,no,yes,no,no,594000000
cimanggis,3,2,60.0,72.0,yes,no,no,no,743830000
cimanggis,2,2,80.0,70.0,no,no,no,no,760000000
sukmajaya,2,2,95.0,84.0,yes,yes,yes,yes,780000000
depok,3,2,60.0,68.0,no,yes,yes,yes,697000000
bojongsari,3,3,70.0,86.0,no,yes,yes,yes,940000000
depok,2,1,70.0,128.0,no,no,no,no,650000000
bojongsari,4,4,97.0,112.0,yes,yes,yes,no,1664000000
cilodong,2,1,41.0,69.0,yes,yes,no,yes,494000000
sukmajaya,4,1,95.0,91.0,no,no,no,no,575000000
beji,3,2,47.0,51.0,yes,yes,yes,no,795500000
tapos,3,2,75.0,61.0,no,no,no,no,950000000
sukmajaya,3,2,64.0,102.0,no,yes,no,no,845000000
sawangan,2,2,48.0,107.0,yes,yes,no,yes,725000000
cilodong,2,2,40.0,40.0,no,no,no,no,360000000
cilodong,2,1,45.0,61.0,no,no,no,no,580000000
cimanggis,3,2,80.0,86.0,no,no,no,no,1284000000
