lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
sawangan,3,2,56.0,65.0,yes,yes,yes,yes,755500000
limo,2,2,150.0,113.0,yes,yes,no,no,2040000000
cilodong,3,2,60.0,60.0,yes,yes,no,no,699000000
cimanggis,3,2,60.0,63.0,yes,no,no,no,818588000
cimanggis,3,2,72.0,60.0,yes,no,yes,no,895000000
cimanggis,3,2,85.0,72.0,yes,yes,yes,no,825000000
sawangan,2,2,75.0,88.0,yes,yes,yes,yes,1270000000
beji,3,2,100.0,72.0,no,no,no,no,1050000000
cinere,3,3,140.0,72.0,yes,yes,yes,no,1320000000
limo,2,1,55.0,55.0,no,no,no,no,670000000
bojongsari,2,1,90.0,108.0,yes,yes,no,yes,859000000
sukmajaya,3,2,55.0,80.0,yes,yes,yes,yes,650000000
beji,3,2,75.0,60.0,yes,yes,yes,no,1132500000
cimanggis,2,1,36.0,63.0,no,no,no,no,545000000
sawangan,2,1,40.0,60.0,yes,yes,no,yes,305000000
bojongsari,3,3,87.0,77.0,no,no,no,no,1386000000
cilodong,2,2,50.0,74.0,no,yes,no,yes,735000000
pancoran mas,3,3,100.0,95.0,no,yes,yes,yes,950000000
depok,3,3,100.0,95.0,yes,yes,yes,yes,995000000
beji,4,3,120.0,100.0,no,no,no,no,1600000000
limo,3,2,60.0,72.0,no,yes,no,yes,895000000
pancoran mas,4,3,140.0,80.0,no,no,no,no,1300000000
cilodong,2,1,45.0,98.0,no,no,no,no,750000000
bojongsari,2,1,36.0,72.0,yes,yes,no,yes,348000000
cinere,3,2,70.0,91.0,no,yes,no,yes,775000000
cilodong,3,2,70.0,70.0,yes,yes,no,yes,810000000
cilodong,3,2,75.0,103.0,no,no,no,no,1250000000
sawangan,2,1,39.0,83.0,yes,yes,no,no,625000000
depok,3,2,70.0,63.0,no,no,no,no,795000000
sawangan,2,2,75.0,84.0,yes,yes,no,yes,1279000000
cilodong,3,2,94.0,121.0,yes,no,no,no,1450000000
depok,3,3,70.0,86.0,no,yes,no,no,940000000
depok,2,1,38.0,55.0,yes,yes,no,no,310000000
sawangan,3,1,63.0,72.0,yes,yes,yes,yes,695000000
sawangan,2,1,45.0,60.0,yes,yes,yes,yes,594000000
sawangan,3,2,56.0,68.0,yes,yes,yes,no,779569504
sukmajaya,3,2,83.0,90.0,yes,yes,yes,yes,1163880000
cilodong,2,1,60.0,87.0,yes,yes,no,yes,650000000
cipayung,2,1,36.0,76.0,yes,yes,no,no,444400000
sukmajaya,2,1,32.0,60.0,yes,yes,no,yes,348000000
cilodong,3,3,100.0,98.0,no,no,no,no,1200000000
cilodong,2,1,72.0,72.0,yes,yes,no,no,660000000
tapos,3,2,67.0,70.0,no,yes,no,no,950000000
cilodong,2,2,40.0,45.0,no,yes,yes,no,474000000
bojongsari,3,2,88.0,79.0,no,no,no,no,1500000000
limo,4,4,155.0,84.0,no,no,no,no,1722000000
depok,3,2,80.0,78.0,no,no,no,no,999000000
cilodong,2,2,50.0,72.0,yes,yes,no,yes,735000000
beji,4,2,120.0,127.0,yes,yes,no,no,998000000
sawangan,3,2,73.0,72.0,no,no,no,no,780000000
cilodong,3,3,110.0,106.0,no,no,no,no,1200000000
sukmajaya,3,2,56.0,62.0,yes,yes,yes,yes,650000000
sukmajaya,3,3,80.0,90.0,no,yes,yes,yes,915000000
sawangan,2,1,36.0,56.0,yes,yes,yes,yes,324000000
cinere,3,3,80.0,70.0,yes,yes,no,yes,1100000000
limo,3,2,105.0,95.0,yes,yes,no,no,1500000000
cilodong,3,3,80.0,71.0,yes,yes,yes,yes,915000000
sukmajaya,3,2,60.0,72.0,no,yes,no,no,795000000
cilodong,3,1,45.0,82.0,no,no,no,no,690000000
cipayung,2,1,45.0,66.0,no,yes,no,no,551550000
cinere,4,3,150.0,101.0,yes,yes,yes,no,2400000000
cinere,3,2,88.0,105.0,no,no,no,no,890000000
depok,3,4,109.0,112.0,yes,yes,yes,no,1700000000
sawangan,2,2,50.0,71.0,yes,yes,no,no,655000000
cimanggis,2,2,48.0,42.0,yes,yes,no,no,400000000
pancoran mas,3,2,60.0,72.0,no,yes,no,yes,885000000
cilodong,3,2,88.0,84.0,yes,yes,no,no,780000000
cinere,4,4,100.0,76.0,no,no,no,no,1610000000
cimanggis,2,2,150.0,87.0,no,no,no,no,1000000000
tapos,2,1,36.0,61.0,no,yes,yes,yes,300000000
cilodong,2,1,36.0,61.0,yes,yes,no,yes,610000000
cilodong,2,2,50.0,81.0,no,yes,no,yes,720000000
beji,3,3,120.0,102.0,no,yes,no,yes,1350000000
cilodong,3,3,75.0,116.0,no,no,no,no,1100000000
cipayung,2,1,45.0,72.0,no,no,no,no,460000000
sawangan,4,2,150.0,128.0,yes,yes,yes,no,2524733000
cinere,3,3,80.0,81.0,yes,yes,yes,yes,925000000
cilodong,3,3,100.0,95.0,no,no,no,no,950000000
cilodong,2,1,50.0,70.0,yes,yes,no,no,350000000
cilodong,3,3,90.0,78.0,yes,yes,yes,yes,1050000000
cimanggis,3,2,1.0,110.0,no,no,no,no,975000000
pancoran mas,3,3,80.0,50.0,no,yes,no,yes,865000000
sukmajaya,2,2,40.0,52.0,yes,yes,yes,no,495000000
tapos,2,1,50.0,84.0,no,no,no,no,750000000
beji,4,3,120.0,92.0,no,no,no,no,1600000000
cimanggis,2,2,82.0,49.0,no,no,no,no,700000000
tapos,3,2,60.0,50.0,no,no,no,no,500000000
pancoran mas,3,1,45.0,80.0,yes,no,no,no,660000000
cipayung,2,1,36.0,70.0,no,yes,yes,no,250000000
sukmajaya,3,2,54.0,65.0,no,no,no,no,770000000
cilodong,2,2,55.0,82.0,yes,yes,no,yes,705000000
cinere,3,3,120.0,90.0,no,no,no,no,1500000000
depok,3,3,85.0,75.0,no,no,no,no,1080000000
limo,3,2,80.0,84.0,yes,yes,no,no,1080000000
cipayung,2,1,36.0,65.0,yes,yes,no,yes,365000000
cinere,2,1,50.0,85.0,no,yes,no,no,600000000
cimanggis,3,3,110.0,78.0,no,no,no,no,1342000000
beji,3,2,61.0,60.0,no,no,no,no,750000000
bojongsari,2,2,60.0,68.0,no,no,no,no,697000000
bojongsari,3,2,80.0,96.0,yes,yes,no,no,1200000000
cinere,3,2,80.0,105.0,yes,yes,no,no,1400000000
cilodong,3,2,40.0,75.0,no,no,no,no,650000000
tapos,3,2,74.0,64.0,no,no,no,no,899000000
cimanggis,2,1,55.0,120.0,no,no,no,no,750000000
beji,3,3,110.0,72.0,no,yes,no,yes,1350000000
tapos,2,1,40.0,80.0,yes,yes,no,yes,650000000
cinere,3,2,72.0,96.0,yes,yes,yes,no,1014000000
cilodong,2,1,42.0,72.0,yes,yes,no,no,514000000
depok,3,3,90.0,108.0,no,no,no,no,1250000000
cilodong,2,1,36.0,68.0,yes,yes,no,no,466000000
pancoran mas,2,1,40.0,85.0,no,yes,no,no,908000000
sawangan,2,1,30.0,50.0,yes,yes,no,no,299000000
bojongsari,2,1,55.0,60.0,no,no,no,no,420000000
cimanggis,4,3,140.0,108.0,no,no,no,no,1300000000
tapos,3,3,60.0,75.0,yes,yes,yes,no,860000000
pancoran mas,3,2,60.0,72.0,no,no,no,no,690000000
cimanggis,3,2,115.0,85.0,yes,yes,yes,no,1455000000
pancoran mas,2,1,30.0,35.0,no,yes,no,yes,150000000
beji,3,2,68.0,72.0,yes,yes,no,no,850000000
sukmajaya,3,2,84.0,80.0,no,no,no,no,953000000
cilodong,3,2,56.0,60.0,yes,no,no,no,796000000
pancoran mas,3,3,130.0,94.0,no,yes,no,yes,1495000000
cilodong,2,1,50.0,78.0,yes,yes,no,no,750000000
cimanggis,3,2,65.0,70.0,yes,yes,no,no,500000000
pancoran mas,2,1,45.0,72.0,yes,yes,no,yes,450000000
sawangan,3,2,63.0,74.0,yes,yes,yes,yes,754215000
tapos,3,2,80.0,50.0,no,no,no,no,735000000
sawangan,2,1,50.0,75.0,no,yes,no,no,325000000
beji,4,4,130.0,77.0,no,no,no,no,1525000000
cimanggis,3,2,56.0,63.0,yes,yes,no,yes,775000000
sawangan,2,1,28.0,28.0,no,no,no,no,135000000
sawangan,3,3,78.0,101.0,yes,yes,yes,yes,900000000
sawangan,2,2,45.0,84.0,no,no,no,no,595000000
cilodong,3,2,56.0,60.0,no,no,no,no,726000000
