rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_AC,rumah_taman,rumah_keamanan,rumah_balcony,rumah_fully_furnished,rumah_kolam_renang
https://www.lamudi.co.id/rumah-2-lantai-fasilitas-kidspool-dekat-tol-cimang-167169771556.html,Rumah 2 lantai fasilitas Kidspool dekat tol cimanggis,"Jalan Pekapuran, Depok 16462, Indonesia Cimanggis, Depok",Rp 907.250.000,3,2,51,72,2,,,yes,yes,yes,,yes
https://www.lamudi.co.id/rumah-1lt-rooftop-terbuka-samping-tol-cijago-depok-167206564693.html,Rumah 1lt + Rooftop Terbuka samping Tol Cijago Depok,"Cimanggis, Depok",Rp 550.000.000,2,1,45,50,,,,,yes,yes,,
https://www.lamudi.co.id/rumah-minimalis-depok-di-grand-depok-city-lokasi-strategis-di-pusat-kota-depok.html,"Rumah Minimalis Depok di Grand Depok City, Lokasi Strategis di Pusat Kota Depok",Depok,Rp 1.120.000.000,4,3,110,90,,,yes,,yes,,Tidak,
https://www.lamudi.co.id/rumah-baru-dekat-dengan-pintu-tol-depok-166571697370.html,rumah baru dekat dengan pintu tol depok,"Pancoran Mas, Depok",Rp 695.000.000,2,2,60,79,,,,,,,,
https://www.lamudi.co.id/dijual-rumah-di-cilodong.html,DIJUAL RUMAH DI CILODONG,"Cilodong, Depok",Rp 650.000.000,3,2,152,152,,,,,,,,
https://www.lamudi.co.id/rumah-harga-terjangkau-di-depok-1.html,RUMAH MURMER KPR Bank/Developer,"Jl.Pale VII Sukamaju Baru Tapos Depok Tapos, Depok",Rp 579.000.000,2,1,45,78,1,,,yes,,,,
https://www.lamudi.co.id/rumah-murah-siap-huni-150-juta-167229802025.html,RUMAH MURAH SIAP HUNI 150 JUTA,"Sawangan, Depok",Rp 155.000.000,2,1,40,50,,,,,,,,
https://www.lamudi.co.id/rumah-baru-siap-huni-dekat-sekolahan-dan-tol-di-sa-166945853444.html,Rumah Baru Siap huni dekat Sekolahan dan Tol di Sawangan depok,"Sawangan, Depok",Rp 945.000.000,3,3,100,65,1,,,yes,yes,yes,,
https://www.lamudi.co.id/cluster-nahara-tipe-7-cimanggis-golf-estate-166306712827.html,Cluster Nahara Tipe 7 – Cimanggis Golf Estate,"Jl. Cimanggis Boulevard, Tapos, Depok",Rp 2.296.200.000,3,3,128,119,2,2,,yes,yes,,,yes
https://www.lamudi.co.id/dijual-rumah-bukit-rivaria-sawangan.html,Dijual rumah Bukit Rivaria Sawangan,"Sawangan, Depok",Rp 750.000.000,4,2,90,,,,,yes,,,,yes
https://www.lamudi.co.id/dijual-rumah-2-lantai-tanpa-dp-dekat-stasiun-167161140165.html,Dijual Rumah 2 Lantai Tanpa DP Dekat Stasiun,"Cilodong, Depok",Rp 600.000.000,3,2,546,60,1,,,yes,yes,yes,,
https://www.lamudi.co.id/rumah-cluater-murah-akses-tol-desari-dan-cijago-ma-167029876650.html,RUMAH CLUATER MURAH AKSES TOL DESARI DAN CIJAGO MAMPANG DEPOK,"Mampang, Depok",Rp 730.000.000,3,2,65,60,,,yes,yes,yes,yes,,
https://www.lamudi.co.id/rumah-minimalis-cicilan-mulai-2-jutaan-dan-dp-5-jt-165942715398.html,Rumah Minimalis Cicilan Mulai 2 Jutaan dan DP 5 Jt,"Citayam, Depok",Rp 330.000.000,2,1,36,60,,,,yes,,,,
https://www.lamudi.co.id/rumah-murah-akses-mobil-ada-carport-167203264835.html,rumah murah akses mobil ada carport,"Jatimulya, Depok",Rp 235.000.000,2,1,33,43,,,yes,,,,,
https://www.lamudi.co.id/shila-at-sawangan-cluster-lake-series-vista-tipe-t-167169208653.html,Shila at Sawangan Cluster Lake Series Vista Tipe Tudor,"Jl. Golf No.7, RT.4/RW.7, Sawangan Lama Sawangan, Depok",Rp 2.914.622.000,4,4,180,144,2,,,yes,yes,yes,Tidak,
https://www.lamudi.co.id/jalan-2-mobil-harga-mulai-700jtan-dekat-tol-cimang-167211273344.html,"Jalan 2 mobil harga mulai 700jtan dekat tol Cimanggis, cibubur ,cijago","Cimanggis, Depok",Rp 720.710.000,3,2,54,60,1,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-5-menit-ke-tempat-wisata-dp-5-juta-167219794273.html,Rumah 2 Lantai 5 Menit Ke Tempat Wisata Dp 5 Juta Cicilan 2 Jutaan,"Perigi, Bedahan, Sawangan, Depok Kota Sawangan, Depok",Rp 372.000.000,2,2,40,40,1,,,yes,yes,yes,,
https://www.lamudi.co.id/rumah-2-lantai-scandinavian-dekat-stasiun-depok-la-167222466771.html,Rumah 2 Lantai Scandinavian dekat stasiun Depok lama,"Cilodong, Depok",Rp 725.000.000,3,2,56,66,,,yes,,,,,
https://www.lamudi.co.id/rumah-murah-depok-167111322637.html,Rumah Tanpa DP Depok,"Cilodong, Depok",Rp 710.000.000,2,2,45,84,,,yes,yes,yes,,,
https://www.lamudi.co.id/dijual-rumah-cluster-sawangan-residence-ideal-hook-167214312911.html,DIJUAL RUMAH CLUSTER SAWANGAN RESIDENCE IDEAL ( HOOK HARGA MURAH ),"Sawangan, Depok",Rp 1.100.000.000,3,2,70,114,,,,yes,yes,,,
https://www.lamudi.co.id/rumah-siap-huni-tanpa-dp-pinggir-jalan-raya-cilodo-167229964466.html,Rumah Siap Huni Tanpa Dp Pinggir jalan Raya Cilodong Depok Kota,"Cilodong, Depok",Rp 725.000.000,2,1,65,90,1,,yes,yes,yes,,,
