"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_fully_furnished","rumah_luas_bangunan","rumah_AC","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_jumlah_lantai"
"https://www.lamudi.co.id/rumah-murah-tanpa-dp-61.html","Rumah Murah tanpa DP","Jalan pondok petir bojong sari depok Pondok Petir, Depok","Rp 600.000.000","66","1","3","2","","60","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/cluster-muslim-dekat-stasiun-depok.html","Cluster Muslim Dekat Stasiun Depok","Jalan Taman Jaya Cipayung, Depok","Rp 236.000.000","50","1","2","1","","21","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-second-di-perumnas-depok-akses-lebar.html","rumah second di Perumnas Depok, akses lebar","Abadi Jaya, Depok","Rp 1.600.000.000","160","2","4","3","","140","","","","","",""
"https://www.lamudi.co.id/paradesa-cibubur-rumah-konsep-modern-tropis-dan-mi-165953832977.html","Paradesa Cibubur Rumah Konsep Modern Tropis dan Minimalis","Cimanggis, Depok","Rp 1.380.000.000","90","1","3","2","","89","","yes","yes","yes","yes",""
"https://www.lamudi.co.id/rumah-di-grand-depok-city-tanpa-dp.html","Rumah di Grand depok city Tanpa DP","Sukmajaya, Depok","Rp 980.000.000","80","","3","3","","","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/cluster-2-lantai-820-juta-dekat-stasiun-depok-baru-toll-kukusan-cijago.html","Cluster 2 lantai 820 juta dekat stasiun Depok baru toll kukusan, Cijago","Ridwan Rais Beji timur Depok Beji Timur, Depok","Rp 820.000.000","52","1","3","2","","59","","yes","yes","","yes","2"
"https://www.lamudi.co.id/di-jual-rumah-murah-di-depok-scandinavian-2-lantai-termurahh.html","di jual rumah murah di depok SCANDINAVIAN 2 LANTAI TERMURAHH","Cilodong, Depok Cilodong, Depok","Rp 760.000.000","90","2","3","2","","60","","","","","",""
"https://www.lamudi.co.id/cluster-khusus-muslim-dekat-stasiun-166795618152.html","Cluster Khusus Muslim dekat Stasiun","Beji, Depok","Rp 360.000.000","60","1","2","1","","36","","yes","","","",""
"https://www.lamudi.co.id/rumah-murah-sawangan-bedahan-165867700629.html","rumah murah sawangan bedahan","Bedahan, Depok","Rp 240.000.000","60","1","2","1","","40","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-dijual-cocok-buat-i-dekost-166339059027.html","Rumah dijual cocok buat indekost, dekat pusat keramaian (harga nego)","Baktijaya, Depok","Rp 495.000.000","107","","3","2","","91","","","","","",""
