"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_kolam_renang","rumah_balcony","rumah_keamanan","rumah_lahan_parkir","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/dp-10-juta-rumah-3-menit-ke-stasiun-167281475773.html","Dp 10 juta rumah 3 menit ke stasiun","Cinere, Depok","Rp 484.000.000","2","1","40","63","yes","yes","","","","","",""
"https://www.lamudi.co.id/beji-rumah-mewah-ready-stock-nempel-jalan-167281474879.html","Beji, rumah mewah ready stock nempel jalan","Beji, Depok","Rp 1.495.000.000","4","3","130","95","yes","yes","","","","","",""
"https://www.lamudi.co.id/beji-rumah-mewah-tanpa-dp-3-menit-dari-pintu-tol-k-167281475055.html","Beji, rumah mewah tanpa dp 3 menit dari pintu tol krukut","Beji, Depok","Rp 1.495.000.000","3","3","130","97","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-butuh-pemilik-rumah-ready-stock-dekat-167281476369.html","Pancoran mas, butuh pemilik rumah ready Stock dekat tol sawangan","Beji, Depok","Rp 1.350.000.000","3","3","140","100","yes","yes","","","","","",""
"https://www.lamudi.co.id/bojongsari-rumah-fasilitas-ramai-ekslusif-167281476724.html","Bojongsari, rumah fasilitas ramai ekslusif","Limo, Depok","Rp 1.000.000.000","3","2","75","70","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-ready-dekat-tol-167281477072.html","Pancoran mas, rumah ready dekat tol","Limo, Depok","Rp 895.000.000","3","2","75","89","yes","yes","","","","","",""
"https://www.lamudi.co.id/cilodong-cluster-esklusif-dengan-banyak-fasilitas-167281475638.html","Cilodong, cluster esklusif dengan banyak fasilitas tanpa dp","Pancoran Mas, Depok","Rp 900.000.000","3","2","70","70","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/gdc-rumah-siap-di-huni-167281476931.html","GDC, rumah siap di huni","Beji, Depok","Rp 1.450.000.000","3","3","90","101","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-jaminan-di-acc-dp-15-juta-kecuali-b-167281482326.html","Sawangan , rumah jaminan di acc dp 15 juta, kecuali bi checking","Pancoran Mas, Depok","Rp 990.000.000","3","2","65","95","yes","yes","","","","","",""
"https://www.lamudi.co.id/cinangka-rumah-skandiv-bata-merah-dekat-tol-pamula-167281481626.html","Cinangka, rumah skandiv bata merah dekat tol pamulang","Limo, Depok","Rp 895.000.000","3","2","60","72","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dp-0-167288004643.html","Rumah 2 lantai DP 0%","Tapos, Depok","Rp 800.000.000","3","2","60","50","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-minimalis-bukit-golf-cibubur.html","Dijual Rumah Minimalis Bukit Golf Cibubur","Jl. Leuwinanggung Cimanggis, Depok","Rp 1.800.000.000","2","2","100","180","","","","","","","",""
"https://www.lamudi.co.id/unit-ready-lingkungan-masih-asri-di-tengah-kota-depok.html","unit ready, lingkungan masih asri di tengah kota Depok","Kelapa Dua, Depok","Rp 1.100.000.000","3","2","80","84","","","","","","1","",""
"https://www.lamudi.co.id/mini-cluster-akses-boulevard-gdc.html","MINI CLUSTER AKSES BOULEVARD GDC","Cilodong, Depok","Rp 1.200.000.000","3","3","100","98","","","","","","2","",""
"https://www.lamudi.co.id/rumah-murah-di-cikarang-timur-one-gate-system-dengan-lingkungan-islami.html","Rumah Cantik Super Cozy Dekat Juanda Dan Margonda Di Cimanggis Depok","Cimanggis, Depok","Rp 852.267.000","3","2","63","66","","yes","","","yes","","",""
"https://www.lamudi.co.id/promo-harga-opening-150jt-di-kota-depok-166783616938.html","promo harga opening 150jt. di kota depok","Pancoran Mas, Depok","Rp 150.000.000","2","1","30","35","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-murah-di-pusat-depok-166713973622.html","rumah murah di pusat depok","Cipayung, Depok","Rp 200.000.000","2","1","30","40","","","","","","","",""
"https://www.lamudi.co.id/rumah-hunian-asri-bebas-banjir-one-gate-sistem-165873790991.html","rumah hunian asri bebas banjir one gate sistem","Sawangan, Depok","Rp 450.000.000","2","1","50","70","","","","","","","",""
"https://www.lamudi.co.id/rumah-cluster-cinere-depok-pangkalan-jati.html","Rumah Cluster Cinere Depok Pangkalan Jati","Pangkalan Jati, Depok","Rp 1.487.000.000","3","2","73","","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-sangat-strategis.html","Di jual rumah sangat strategis","Depok","Rp 260.000.000","2","1","36","50","","","","","","","",""
"https://www.lamudi.co.id/perumahan-baru-type-2-lantai-di-depok-lokasi-dekat-pintu-tol-desari.html","Perumahan Baru Type 2 Lantai di Depok, Lokasi Dekat Pintu Tol Desari","Jl. Harapan No.95, Rangkapan Jaya Rangkapan Jaya, Depok","Rp 707.000.000","3","2","60","68","","","","","","1","",""
"https://www.lamudi.co.id/rumah-dijual-dalam-cluster-siap-huni-kelapa-dua-166065069230.html","Rumah dijual Dalam Cluster Siap Huni Kelapa Dua","Kelapa Dua, Depok","Rp 1.400.000.000","2","3","98","135","","","","","","","",""
"https://www.lamudi.co.id/br894-rumah-asri-griya-melati-mas-cilodong-depok-luas128m-2.html","BR894 Rumah Asri Griya Melati Mas Cilodong Depok luas128m","Perumahan Griya Melati Mas Cilodong Cilodong, Depok","Rp 690.000.000","3","2","50","128","","","","","","1","",""
"https://www.lamudi.co.id/rumah-di-dekat-tol-cimanggis-depok.html","Rumah di dekat tol Cimanggis Depok","Tapos, Depok","Rp 615.000.000","2","1","60","56","","","","","","","",""
"https://www.lamudi.co.id/rumah-cluster-dekat-stasiun-166667695658.html","Rumah cluster dekat stasiun","Sukmajaya, Depok","Rp 348.000.000","2","1","32","60","yes","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-2lantai-cantik-tanpa-dp-167272158158.html","Rumah 2Lantai Cantik Tanpa DP","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","","yes","yes","","",""
"https://www.lamudi.co.id/di-jual-rumah-request-desain-di-citayam-16727362485.html","Di Jual Rumah Request Desain di Citayam","Citayam, Depok","Rp 460.000.000","2","1","45","72","","","","","","","",""
"https://www.lamudi.co.id/raden-saleh-asru-166938092945.html","Raden saleh asri Hunian baru dua lantai","Sukmajaya, Depok","Rp 275.000.000","2","2","42","25","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-2-lantai-dekat-tol-167281475486.html","Dijual rumah 2 Lantai dekat Tol","Pancoran Mas, Depok","Rp 865.000.000","3","3","80","50","yes","yes","","","","","",""
"https://www.lamudi.co.id/bojongsari-rumah-ekslusif-ada-kolam-renang-pribadi-167281475372.html","Bojongsari, rumah ekslusif ada kolam renang pribadi","Pancoran Mas, Depok","Rp 1.700.000.000","3","3","100","107","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/cinangka-rumah-tanpa-dp-dekat-tol-pamulang-167281475447.html","Cinangka, rumah tanpa dp dekat tol pamulang","Limo, Depok","Rp 590.000.000","3","2","60","50","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-cluster-bata-merah-dp-murah-167281475266.html","Sawangan, cluster bata merah dp murah","Pancoran Mas, Depok","Rp 850.000.000","3","2","65","85","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-900-meter-saja-dari-pintu-tol-167281483334.html","Pancoran mas, rumah 900 meter saja dari pintu tol","Beji, Depok","Rp 1.150.000.000","3","2","100","70","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-dekat-tol-sawangan-16728148208.html","Pancoran mas, rumah dekat tol sawangan","Pancoran Mas, Depok","Rp 850.000.000","3","2","70","83","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-tanpa-dp-dekat-stasiun-citayam-167281483726.html","Sawangan, rumah tanpa dp dekat stasiun citayam","Pancoran Mas, Depok","Rp 450.000.000","2","1","40","60","yes","yes","","","","","",""
"https://www.lamudi.co.id/cilodong-rumah-mewah-tanpa-dp-siap-di-huni-16728148107.html","Cilodong, rumah mewah tanpa dp siap di huni","Cilodong, Depok","Rp 980.000.000","3","3","100","95","yes","yes","","","","","",""
"https://www.lamudi.co.id/cilodong-rumah-2-lantai-bata-merah-harga-launching-167281481547.html","Cilodong, rumah 2 lantai bata merah harga launching","Limo, Depok","Rp 600.000.000","3","2","66","78","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-1-lantai-kamar-tidur-3-lahan-besar-167281482812.html","Rumah 1 lantai , kamar tidur 3, lahan besar","Cinere, Depok","Rp 775.000.000","3","2","70","91","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-nyaman-lahan-besar-kamar-tidur-3-167281483530.html","Rumah nyaman lahan besar kamar tidur 3","Cinere, Depok","Rp 775.000.000","3","2","75","91","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-ready-siap-di-huni-dekat-tol-kecantol-167281477282.html","Rumah ready siap di huni dekat tol kecantol","Limo, Depok","Rp 850.000.000","3","2","75","70","yes","yes","","","","","",""
"https://www.lamudi.co.id/beji-cluster-mewah-akses-2-mobil-167281477471.html","Beji,Cluster mewah akses 2 mobil","Pancoran Mas, Depok","Rp 1.495.000.000","3","3","130","95","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-cluster-nyaman-lokasi-strategis-dekat-167281480658.html","Pancoran mas,Cluster nyaman, Lokasi Strategis, Dekat Tol Desari","Pancoran Mas, Depok","Rp 780.000.000","3","2","70","87","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-siap-di-huni-tanahnya-besar-167281479939.html","Sawangan, rumah siap di huni tanahnya besar","Beji, Depok","Rp 375.000.000","2","1","55","84","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-ready-siap-di-huni-deket-tol-167281479068.html","Pancoran mas, ready siap di huni Deket tol","Pancoran Mas, Depok","Rp 625.000.000","2","1","50","71","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-900-meter-saja-dari-pintu-tol-167281483334.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-ready-siap-huni-tanah-besar-167281484096.html","Sawangan, rumah ready siap huni tanah besar","Sawangan, Depok","Rp 375.000.000","2","1","55","84","yes","yes","","","","","",""
"https://www.lamudi.co.id/cilodong-townhouse-esklusif-tanpa-dp-167281483877.html","Cilodong, townhouse esklusif tanpa dp","Pancoran Mas, Depok","Rp 980.000.000","3","3","75","80","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-1-lantai-kamar-tidur-3-lahan-besar-167281482812.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-tanah-besar-akses-lega-deket-tol-167281484122.html","Rumah tanah besar akses lega Deket tol","Cinere, Depok","Rp 600.000.000","2","1","50","85","","yes","","","","","",""
"https://www.lamudi.co.id/rumah-nyaman-lahan-besar-kamar-tidur-3-167281483530.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-tanpa-dp-dekat-stasiun-citayam-167281483726.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/cilodong-cluster-ekslusif-muslim-ada-musholla-167281484921.html","Cilodong, cluster ekslusif muslim ada musholla","Cilodong, Depok","Rp 800.000.000","3","2","71","84","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-dp-15-juta-dapat-rumah-cluster-ekslusif-167281484375.html","Sawangan, dp 15 juta dapat rumah cluster ekslusif","Pancoran Mas, Depok","Rp 1.050.000.000","3","3","70","96","yes","yes","yes","","","","",""
