"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_keamanan","rumah_lahan_parkir","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-cantik-tanpa-dp-siap-huni-167178491698.html","Rumah cantik Tanpa DP siap huni","Cilodong, Depok","Rp 900.000.000","3","3","85","75","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-siap-huni-didepok-167186452096.html","Rumah Siap Huni didepok","Cilodong, Depok","Rp 900.000.000","3","3","85","75","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/cluster-dekat-pintu-toll-free-biaya2-di-cimanggis-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/cluster-fasilitas-kolam-renang-dekat-pintu-toll-di-cimanggis-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-16704770959.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.316.000.000","3","3","87","77","","yes","yes","7","yes","","yes",""
"https://www.lamudi.co.id/rumah-mewah-harga-murah-lokasi-dekat-dari-tol-dan-166175782186.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-di-cluster-terdekat-dengan-lrt-dan-166176635483.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/jual-perumahan-di-cimanggis-depok-dekat-taman-wila-166178608453.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-siap-huni-di-cimanggis-depok-dekat-16617899404.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/terasbali-premiere-perumahan-dekat-lrt-dan-tol-cib-166179118416.html","Terasbali Premiere , Perumahan dekat LRT dan Tol Cibubur Bebas Banjir","JL MANDIRI CIMANGGIS, DEPOK Cimanggis, Depok","Rp 1.957.592.000","3","2","72","153","yes","yes","yes","2","","1","",""
"https://www.lamudi.co.id/rumah-2-lantai-di-pusat-kota-depok-harga-terjangka-167039614061.html","Rumah 2 Lantai Di Pusat Kota Depok Harga Terjangkau","Depok","Rp 631.000.000","3","2","42","44","","yes","yes","","","","",""
"https://www.lamudi.co.id/mewah-dengan-harga-murah-tanpa-dp.html","MEWAH DENGAN HARGA MURAH TANPA DP","JL.PALAPA KALIMULYA KOTA DEPOK Sukmajaya, Depok","Rp 750.000.000","3","2","70","60","yes","yes","yes","1","yes","2","",""
"https://www.lamudi.co.id/tanpa-dp-cicilan-hanya-2-3-bulan-166824223626.html","(tanpa DP) Cicilan hanya 2.3/bulan!","Cilodong, Depok","Rp 365.000.000","2","1","30","53","yes","yes","","","","","",""
"https://www.lamudi.co.id/hunian-2-lt-model-tropical-resort-yang-memiliki-sp-166606259161.html","Hunian 2 Lt, Model Tropical Resort yang memiliki spesifikasi premium","Jl. Raya Curug Kosambi No 30 Depok","Rp 1.624.000.000","3","3","97","101","","yes","yes","6","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-16662330409.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl.Raya Curug No 30 Depok","Rp 1.664.000.000","4","4","97","112","","yes","yes","6","yes","","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166657861996.html","Hunian 2 Lantai dengan model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.327.500.000","3","3","87","79","","yes","yes","6","yes","","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-troical-resort-166710337390.html","Hunian 2 Lantai dengan Model Troical Resort","Jl.Raya Curug No 30 Depok","Rp 1.624.000.000","4","4","97","107","","yes","yes","7","yes","","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167151820434.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 871.000.000","2","2","45","64","","yes","yes","3","yes","","yes",""
