"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_AC","rumah_keamanan","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/siap-huni-rumah-sultan-luxuri-mewah-super-luas-5-m-167098369832.html","SIAP HUNI RUMAH SULTAN LUXURI MEWAH SUPER LUAS 5 MENIT TOL CIMANGGIS","Harjamukti, Depok","Rp 1.600.000.000","163","","4","2","288","yes","","","yes","","",""
"https://www.lamudi.co.id/ready-siap-huni-rumah-meganin-modern-hanya-500-jut-167081272193.html","READY SIAP HUNI RUMAH MEGANIN MODERN HANYA 500 JUTAAN DEKET 3 TOL","Leuwi Nanggung, Depok","Rp 493.000.000","53","","3","2","40","","","","","","",""
"https://www.lamudi.co.id/rumah-kpr-tanpa-dp-0-5.html","Rumah KPR Tanpa Dp 0%...","Cilodong, Depok","Rp 750.000.000","60","","3","2","75","","","","","","",""
"https://www.lamudi.co.id/rumah-second-terjangkau-di-kelapa-dua.html","Rumah Second Terjangkau di Kelapa Dua","Cimanggis, Depok","Rp 1.500.000.000","165","","3","2","150","","","","","","","Tidak"
"https://www.lamudi.co.id/rumah-cantik-2-lantai-siap-huni-di-cinangka-depok-166775700686.html","Rumah cantik 2 lantai siap huni di cinangka depok bisa kpr","Cinangka, Depok","Rp 1.560.000.000","109","","3","2","90","","","","","","",""
"https://www.lamudi.co.id/kenawa-resieence-townhouse-modern-cilodong-sisa-1-165943107620.html","Kenawa Resieence, Townhouse Modern Cilodong, sisa 1 unit","Jl H Dimun Raya Cilodong, Depok","Rp 973.000.000","85","1","3","2","75","","","","","2","",""
"https://www.lamudi.co.id/rumah-mewah-di-kawasan-millenial-depok.html","Rumah Mewah di Kawasan Millenial Depok","Jl. Boulevard Grand Depok City Jl. Ruko Anggrek 1 No.21, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia Depok, Depok","Rp 781.000.000","84","","2","1","48","yes","","yes","","","",""
"https://www.lamudi.co.id/cukup-boking-fee-3jt-langsung-akad-kridit-166912967399.html","cukup boking fee 3jt langsung akad kridit","Sukmajaya, Depok","Rp 800.000.000","104","","3","2","70","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-unit-terbatas-166605111610.html","Rumah Tanpa DP, unit terbatas","Cinere, Depok","Rp 735.000.000","71","","2","2","50","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-cantik-tanpa-dp-sampai-akad-166953527435.html","Rumah cantik Tanpa DP sampai akad","Sukmajaya, Depok","Rp 850.000.000","68","","3","3","80","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/cluster-mewah-murah-jual-rumah-murah-166837767898.html","Cluster mewah murah jual RUMAH murah","pasir putih sawangan Sawangan, Depok","Rp 236.000.000","56","1","2","1","37","yes","yes","yes","","","yes",""
