"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166744721735.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 804.000.000","73","4","2","2","50","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166839388238.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.624.000.000","107","8","4","4","97","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167151799776.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 814.000.000","52","3","2","2","45","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-di-depok-moderen-classic-dekat-stasiun-depok-dan-alun-alun-gdc.html","Rumah di Depok Moderen classic dekat stasiun Depok dan alun alun GDC","Jalan Ciliwung Kalimulya cilodong Depok Kalimulya, Depok","Rp 985.000.000","112","1","3","3","70","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-di-depok-bisa-kpr-dekat-pasar-dan-stas-165965848867.html","Rumah murah Depok bisa KPR dekat pasar dan stasiun Citayam","Cipayung, Depok","Rp 485.000.000","60","","2","1","45","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-kpr-termurah-nuansa-islami-di-sawanga-166039329378.html","Dijual rumah KPR termurah nuansa Islami di Sawangan Depok","Depok","Rp 465.000.000","60","","2","1","45","yes","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-dekat-tol-dan-trans-studio-cibubur-de-166039329914.html","Rumah Dijual dekat Tol dan Trans Studio Cibubur Depok","Cimanggis, Depok","Rp 890.000.000","88","","3","2","56","yes","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-pancoran-mas-depok-murah-meriah-de-166039331252.html","Rumah Dijual di Pancoran mas Depok murah meriah dekat Tol Desari","Jalan Samudera Rangkapan Jaya Pancoran Mas Depok Pancoran Mas, Depok","Rp 675.000.000","72","","2","1","5","yes","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-depok-murah-dan-terjangkau-dekat-t-166039333133.html","Rumah dijual di Depok murah dan terjangkau dekat Tol Depok","Sukmajaya, Depok","Rp 845.000.000","102","","3","2","64","yes","","","","","",""
"https://www.lamudi.co.id/jual-rumah-di-depok-luas-banget-dekat-stasiun-krl-166039334514.html","Jual rumah di Depok luas banget dekat stasiun KRL dan Alun alun Depok","Cilodong, Depok","Rp 980.000.000","81","","3","3","70","yes","","","","yes","",""
"https://www.lamudi.co.id/rumah-minimalis-dan-luas-banget-akses-pruis-2-mobi-166039335245.html","Rumah minimalis dan luas banget akses pruis 2 mobil di Cilodong Depok","Cilodong, Depok","Rp 960.000.000","78","","3","3","69","yes","","","","yes","",""
"https://www.lamudi.co.id/rumah-dgn-desain-futuristic-modern-harga-mulai-1-2m-an-di-depok.html","Rumah dgn desain futuristic modern harga mulai 1,2M an di Depok","Bojongsari sawangan Depok Bojongsari, Depok","Rp 1.200.000.000","88","2","3","2","80","","","","","","",""
"https://www.lamudi.co.id/ec-cluster-mewah-classic-minimalis-murah-nempel-al-166230468937.html","EC.Cluster Mewah Classic minimalis Murah Nempel Alun Alun Kota depok","Jatimulya cilodong depok Cilodong, Depok","Rp 1.450.000.000","101","2","3","2","80","","","","","","",""
"https://www.lamudi.co.id/rumah-2lantai-strategis-selangkah-ke-jl-raya-putri-166357004465.html","Rumah 2lantai strategis selangkah ke jl raya putri tunggal Depok","Cimanggis, Depok","Rp 1.495.000.000","90","","2","2","118","","","","","","",""
"https://www.lamudi.co.id/rumah-ready-dicilodong-depok.html","Rumah 2 lantai minimalis kekinian","Cilodong, Depok","Rp 875.000.000","72","","3","3","80","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-modern-terpopuler-dikota-depok-16649625974.html","Rumah 2 lantai modern terpopuler dikota depok","Sukmajaya, Depok","Rp 899.900.000","75","","3","3","80","yes","","","","yes","",""
"https://www.lamudi.co.id/rumah-2-lantai-siap-huni-166545738921.html","Rumah 2 lantai siap huni","Cilodong, Depok","Rp 1.050.000.000","83","1","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-minimalis-siap-huni-dekat-grand-depok-city-166545775240.html","Rumah minimalis siap huni dekat grand Depok city","Kalimulya, Depok","Rp 650.000.000","87","1","2","2","60","yes","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-kaum-milineal-gk-pake-depe-166556698014.html","Rumah kaum milineal gk pake depe","Kalimulya, Depok","Rp 685.000.000","90","","2","2","60","yes","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-2-tingkat-aksesnya-paling-mudah-166564053661.html","rumah 2 tingkat aksesnya paling mudah","Cilodong, Depok","Rp 925.000.000","83","","3","3","80","yes","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-mewah-nempel-alun-alun-kota-depok-booking-4-166564069411.html","Rumah mewah nempel alun alun kota Depok, booking 4 juta langsung Akad","Cilodong, Depok","Rp 1.050.000.000","78","","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/beli-rumah-gk-pake-ribet-166564106439.html","beli rumah gk pake ribet","Sukmajaya, Depok","Rp 1.050.000.000","87","","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-anti-ribet-cukup-booking-langsung-akad-166564122013.html","rumah anti ribet,cukup booking langsung akad","Cilodong, Depok","Rp 651.000.000","87","","2","2","60","yes","yes","","","","",""
"https://www.lamudi.co.id/claster-eklusif-dipinggir-jalan-raya-166564210670.html","claster eklusif dipinggir jalan raya","Cilodong, Depok","Rp 1.050.000.000","89","","3","3","120","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/hunian-claster-tanpa-dp-0-lokasi-dipinggir-jalan-r-166582281324.html","Hunian claster tanpa DP 0,lokasi dipinggir jalan raya","Cilodong, Depok","Rp 1.050.000.000","89","","3","3","120","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-berkualitas-gk-pake-depe-166618081577.html","rumah berkualitas gk pake depe","Sukmajaya, Depok","Rp 898.000.000","75","","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/booking-empat-juta-langsung-akad-166636130385.html","booking empat juta langsung Akad","Cilodong, Depok","Rp 650.000.000","87","","2","2","60","yes","yes","","","","",""
"https://www.lamudi.co.id/hanya-1-unit-terakhir-siapa-cepat-dia-dapat-166744686515.html","hanya 1 unit terakhir,siapa cepat dia dapat","Cilodong, Depok","Rp 682.220.000","90","","2","2","60","yes","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-clasik-harga-menarik-16674682137.html","Rumah clasik harga menarik","Kalimulya, Depok","Rp 925.000.000","82","","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-2-lantai-eklusif-siap-huni-tanpa-dp-0-free-b-166746865574.html","Rumah 2 lantai eklusif siap huni,tanpa DP 0 free biaya surat surat","Cilodong, Depok","Rp 923.000.000","80","","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/hunian-minimalis-harga-ekonomis-166746884412.html","hunian minimalis harga ekonomis","Kalimulya, Depok","Rp 529.000.000","66","","2","1","40","yes","yes","","","yes","",""
"https://www.lamudi.co.id/dp-0-yuk-dipinang-unitnya-166756108527.html","DP 0 %,yuk dipinang unitnya","Cilodong, Depok","Rp 529.000.000","66","","2","1","40","yes","yes","","","yes","",""
"https://www.lamudi.co.id/rumah-clasik-kaum-urban-kpr-gk-pake-depe-166756145610.html","Rumah clasik kaum urban,KPR gk pake depe","Kalimulya, Depok","Rp 924.000.000","80","","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/modern-siap-huni-tanpa-uang-muka-166789604864.html","Modern siap huni,tanpa uang muka","Cilodong, Depok","Rp 669.000.000","94","","2","1","45","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-baru-dijual-cepat-cash-kpr-166815901813.html","rumah baru dijual cepat cash & KPR","Cilodong, Depok","Rp 924.000.000","80","","3","3","80","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-murah-di-pusat-kota-depok-hanya-13-menit-ke-167203790371.html","Rumah Murah Di Pusat Kota Depok, 8 Menit ke Tol Cimanggis.","Tapos, Depok","Rp 495.000.000","56","","2","1","30","yes","yes","","","yes","",""
"https://www.lamudi.co.id/hunian-tanpa-dp-0-proses-di-bantu.html","hunian tanpa DP 0% proses di bantu","Sukmajaya, Depok","Rp 750.000.000","60","","3","2","60","","","","","","",""
"https://www.lamudi.co.id/cinere-cluster-rumah-baru-siap-huni-dekat-tol-bebas-banjir.html","CINERE CLUSTER, RUMAH BARU, SIAP HUNI, DEKAT TOL, BEBAS BANJIR","cinere raya Depok","Rp 2.150.000.000","120","","5","3","200","yes","yes","","","yes","",""
"https://www.lamudi.co.id/cluster-mewah-di-dekat-gdc-166271152515.html","CLUSTER MEWAH DI DEKAT GDC","Depok, Depok","Rp 895.000.000","73","1","3","2","70","yes","","","yes","","",""
"https://www.lamudi.co.id/op49-cluster-exclusive-modern-2-lantai-hrg-mulai-1-16667105268.html","OP49. Cluster Exclusive Modern 2 Lantai Hrg Mulai 1,2M-an Pancoran Mas","Pancoran Mas Sawangan Depok Pancoran Mas, Depok","Rp 1.250.000.000","73","2","3","2","100","","","","","","",""
"https://www.lamudi.co.id/ad111-rumah-strategis-2-lantai-di-depok-dua-sukmaj-166731306918.html","AD111.Rumah Strategis 2 Lantai Di Depok Dua Sukmajaya Dekt Kampus UI","SUkmajaya Depok Sukmajaya, Depok","Rp 737.000.000","64","1","2","2","51","","","","","","",""
"https://www.lamudi.co.id/ad209-townhouse-premium-sangat-strategis-dkt-lrt-d-166757659323.html","Ad209.Townhouse Premium sangat strategis dkt LRT diapit 2 gerbang Tol","Cimanggis Cibubur Depok Cimanggis, Depok","Rp 1.740.462.500","78","1","4","3","100","","","","","","","Tidak"
