"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_lahan_parkir","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/dijual-rumah-super-murah-bagus-sekali-di-depok.html","Dijual Rumah Super Murah Bagus Sekali di Depok","Cipayung, Depok","Rp 800.000.000","3","3","144","109","","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-di-beji-depok-2.html","Rumah minimalis Di beji depok","Beji, Depok","Rp 3.000.000.000","4","2","180","197","","","","","","","",""
"https://www.lamudi.co.id/rumah-secondary-di-cinere-limo.html","Rumah Secondary di Cinere Limo","Jalan tengki 5 no 25 meruyung limo depok Limo, Depok","Rp 2.900.000.000","8","6","456","600","2","","","","yes","yes","2",""
"https://www.lamudi.co.id/new-royal-residence-rumah-mewah.html","New Royal Residence Rumah Mewah","Cinangka, Depok","Rp 1.158.000.000","3","2","63","1","1","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dp-0-angsuran-mulai-dari-5jtan-166269533099.html","Rumah 2 lantai DP 0% Angsuran mulai dari 5jtan","Kelapa Dua, Depok","Rp 900.000.000","3","2","65","50","","yes","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-cicilan-2-jutaan-lokasi-strategis-di-depok.html","RUMAH TANPA DP CICILAN 2 JUTAAN LOKASI STRATEGIS DI DEPOK","Sawangan, Depok","Rp 398.000.000","2","1","","36","","yes","yes","","","yes","",""
"https://www.lamudi.co.id/dijual-perumahan-cluster-2-lantai-hanya-booking-fee-saja.html","Dijual Perumahan Cluster 2 Lantai, Hanya Booking Fee Saja","Cinangka, Kec. Sawangan, Kota Depok Cinere, Depok","Rp 1.100.000.000","3","2","90","96","","yes","yes","","yes","yes","",""
"https://www.lamudi.co.id/promo-opening-150jt-masuk-mobil-di-kota-depok-166791593917.html","promo opening 150jt masuk mobil. di kota depok","Sawangan, Depok","Rp 150.000.000","2","1","30","35","","yes","","","","yes","",""
"https://www.lamudi.co.id/rumah-di-jual-pancoran-mas-depok-dekat-mall-tol-dan-stasiun.html","Rumah di jual Pancoran mas Depok dekat mall tol dan stasiun","Mampang Pancoran Mas, Depok","Rp 960.000.000","4","2","95","100","","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-siap-huni-tinggal-bawa-perabotan-166150696824.html","Rumah 2 lantai siap huni tinggal bawa perabotan.","Kalimulya, Depok","Rp 999.000.000","3","3","80","87","2","yes","","","","","",""
"https://www.lamudi.co.id/raden-saleh-asri-16692612372.html","Raden Saleh Asri","Sukmajaya, Depok","Rp 279.000.000","2","2","42","25","","","","","","","",""
"https://www.lamudi.co.id/tr151-rumah-dlm-cluster-clasic-modern-akses-lebar-16675271024.html","Tr151.Rumah Dlm Cluster Clasic Modern Akses Lebar 100 ke Jl Raya Kahfi","Tanah baru beji depok Tanah Baru, Depok","Rp 1.525.000.000","4","4","130","77","1","","","","","","",""
