"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_jumlah_lantai","rumah_keamanan","rumah_AC","rumah_taman","rumah_lahan_parkir","rumah_fully_furnished","rumah_balcony","rumah_kolam_renang"
"https://www.lamudi.co.id/rumah-2-lantai-di-pusat-kota-depok-167162378492.html","Rumah 2 lantai di Pusat Kota Depok","Jalan Merdeka Sukmajaya, Depok","Rp 909.000.000","3","2","61","63","","yes","","yes","1","","",""
"https://www.lamudi.co.id/tersedia-rumah-2-lantai-dekat-tol-cibubur-bebas-ba-166178858262.html","Kausar Premier Rumah 2 Lantai Siap Huni Dekat Tol Cibubur Bebas Banjir","JL BUNGUR 2, HARJAMUKTI, CIMANGGIS - DEPOK HARJAMUKTI, DEPOK Harjamukti, Depok","Rp 1.188.860.000","2","3","70","83","","yes","yes","yes","1","","yes",""
"https://www.lamudi.co.id/veranda-of-shila-at-sawangan-167015424629.html","veranda of shila at sawangan","Bojongsari, Depok","Rp 1.900.000.000","3","3","136","112","","yes","","yes","","","yes","yes"
"https://www.lamudi.co.id/rashafah-residence-2-cluster-syariah-yang-berada-d-165935025775.html","Rashafah Residence 2, Cluster Syariah yang berada di perbatasan Tangsel-Depok.","Jalan Raya Pondok Petir Bojongsari, Depok","Rp 635.000.000","2","1","45","110","1","","","","1","","",""
"https://www.lamudi.co.id/ahsanu-amala-cluster-syariah-berkonsep-pesantren-k-165943234854.html","Ahsanu 'Amala , Cluster Syariah berkonsep pesantren keluarga di Cinangka-Depok","Jl H Miing Sawangan, Depok","Rp 760.000.000","3","2","75","56","2","","","yes","1","","",""
"https://www.lamudi.co.id/hunian-islami-asri-bebas-banjir-dekat-stasiun-depo-165944746141.html","Hunian Islami, Asri, Bebas Banjir, Dekat Stasiun Depok lama dan Tol, SHM","Cipayung, Depok","Rp 475.000.000","2","1","45","84","","","","","1","","",""
"https://www.lamudi.co.id/rumah-kost-2-lantai-17-pintu-kawasan-padat-mahasis-166357004921.html","Rumah Kost 2 Lantai 17 pintu Kawasan padat mahasiswa di Beji Depok","Beji, Depok","Rp 1.900.000.000","11","11","200","129","","","","","","","",""
"https://www.lamudi.co.id/ec-cluster-mewah-classic-minimalis-murah-nempel-al-166357005746.html","EC.Cluster Mewah Classic minimalis Murah Nempel Alun Alun Kota depok","Cilodong, Depok","Rp 1.450.000.000","3","2","80","101","","","","","","","",""
"https://www.lamudi.co.id/new-cluster-design-colonial-style-3-lantai-roofrop-166357006818.html","New CLuster Design Colonial Style 3 lantai Roofrop kawasan Strategis","Cinere, Depok","Rp 3.897.600.000","5","4","228","94","","","","","","","",""
"https://www.lamudi.co.id/352-new-cluster-2lantai-dlm-cluster-free-biaya-di-166357010140.html","352.New Cluster 2lantai dlm cluster free biaya di area selatan Jakarta","Sawangan, Depok","Rp 845.000.000","3","2","60","70","","","","","","","",""
"https://www.lamudi.co.id/453-rumah-ready-stock-murah-modern-minimalis-harga-166524440514.html","453.Rumah Ready Stock murah modern minimalis Harga 575 Juta Free biaya","Parakan, Cinangka sawangan (perbatasan pondok cabe Tangsel)⁣ Sawangan, Depok","Rp 575.000.000","2","1","45","74","","","","","1","","",""
"https://www.lamudi.co.id/op85-new-cluster-siap-huni-ready-free-biaya-all-in-16690376302.html","Op85.New Cluster Siap Huni Ready Free biaya All in di Sawangan Depok","Sawangan Depok Sawangan, Depok","Rp 500.000.000","2","1","45","60","","","","","1","","",""
"https://www.lamudi.co.id/rumah-cantik-bebas-banjir-di-depok-dekat-sawangan-166075477720.html","Rumah Cantik bebas banjir di Depok Dekat Sawangan The Park","Jalan Sawo Bojongsari, Depok","Rp 845.000.000","3","1","131","140","","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-cantik-2-lantai-di-pondok-petir-dekat-the-pa-166620428653.html","Rumah Cantik 2 Lantai di Pondok Petir dekat The Park Sawangan","Pondok Petir, Depok","Rp 1.375.000.000","3","3","75","124","","yes","","","","","",""
"https://www.lamudi.co.id/rumah-bagus-pemandangan-gunung-166804837283.html","rumah bagus pemandangan gunung","Sawangan, Depok","Rp 348.000.000","2","1","32","60","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-kamar-tidur-di-sawangan-depok.html","Rumah 2 Kamar Tidur, Di Sawangan Depok","Griya Sawangan Asri 2 Sawangan, Depok","Rp 550.000.000","2","1","54","84","1","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-dekat-stasiun-krl-dengan-dp-0-free-bia-165965372667.html","Rumah murah Dekat Stasiun KRL dengan DP 0% Free Biaya KPR dan Lain nya","Cipayung, Depok","Rp 485.000.000","2","1","45","60","","","","","1","","",""
"https://www.lamudi.co.id/rumah-dijual-di-depok-type-moderen-classic-di-kali-166039330229.html","Rumah dijual di Depok type moderen Classic di Kalimulya Cilodong","Cilodong, Depok","Rp 988.000.000","3","3","80","112","","","","yes","","","",""
"https://www.lamudi.co.id/paling-murah-dekat-pintu-tol-desari-dan-stasiun-de-166039330954.html","Paling murah dekat pintu Tol Desari dan stasiun Depok","Pancoran Mas, Depok","Rp 564.000.000","2","2","4","40","","","","yes","","","",""
"https://www.lamudi.co.id/rumah-ready-stock-free-biaya-kpr-pinggir-jalan-ray-166039331786.html","Rumah ready stock akses 2 mobil free biaya KPR pinggir jalan raya","Jalan Kalimulya -Pondok Rajeg Cilodong, Depok","Rp 950.000.000","3","3","80","87","","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-idaman-diselatan-jakarta-166371110393.html","rumah idaman diselatan jakarta","Cinere, Depok","Rp 2.300.000.000","4","2","150","218","","","","","","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166623318116.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.712.000.000","4","4","97","118","","yes","","yes","6","","yes","yes"
"https://www.lamudi.co.id/hunian-2-lantai-dengan-spefikasi-premium-166631949057.html","Hunian 2 lantai dengan spefikasi premium","Jl. Raya Curug No 30 Depok","Rp 1.446.000.000","3","3","87","97","","yes","","yes","6","","yes","yes"
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166640932197.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.382.000.000","3","3","87","89","","yes","","yes","6","","yes","yes"
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166657843890.html","Hunian 2 Lantai dengan model tropical resort","Jl. Raya Curug No 30 Depok","Rp 1.486.000.000","3","3","87","102","","yes","","yes","6","","yes","yes"
"https://www.lamudi.co.id/rumah-mewah-bernuansa-klasik-eropa-di-depok-165977122222.html","Rumah Mewah Bernuansa Klasik Eropa di Depok","White House Premier 5, Jl. Mayor Idrus Tapos Depok Tapos, Depok","Rp 790.000.000","3","2","60","56","","yes","","","","","yes",""
"https://www.lamudi.co.id/br973-perumahan-2-lantai-di-tanah-baru-depok-luas-166599836432.html","BR973 Perumahan 2 lantai di Tanah Baru Depok luas 157m2","tanah baru depok Tanah Baru, Depok","Rp 1.650.000.000","4","2","167","157","","","","","1","","",""
"https://www.lamudi.co.id/br911-rumah-baru-bangunan-2-lantai-sektor-melati-g-166556768524.html","BR911 Rumah baru bangunan 2 lantai sektor melati GDC.","Cluster Melati Grand Depok City Cilodong, Depok","Rp 880.000.000","3","2","70","71","","","","","1","","",""
"https://www.lamudi.co.id/br954-perumahan-126m-pondok-rajeg-ada-dag-buat-1-k-166624904246.html","BR954 Perumahan 126m pondok rajeg ada dag buat 1 kamar.","Perumahan Griya Pondok Rajeg Cilodong, Depok","Rp 985.000.000","3","2","70","126","","","","","1","","",""
"https://www.lamudi.co.id/br987-perumahan-asri-grand-depok-city-luas-112m2-167064047591.html","BR987 Perumahan asri Grand Depok City Luas 112m2","Perumahan Grand Depok City Cilodong, Depok","Rp 1.000.000.000","2","1","60","112","","","","","1","","",""
"https://www.lamudi.co.id/br988-perumahan-siap-huni-grand-depok-city-luas-90-167064082755.html","BR988 Perumahan siap huni Grand Depok City luas 90 m2 dekat alun alun","Perumahan Grand Depok City Cilodong, Depok","Rp 910.000.000","2","1","60","90","","","","","1","","",""
"https://www.lamudi.co.id/perumahan-exclusive-chalista-residence-2-jatimulya-16708212049.html","Perumahan Exclusive Chalista Residence 2 Jatimulya Cilodong Depok","Perumahan Chalista Residence 2, Jatimulya Cilodong Depok Cilodong, Depok","Rp 690.000.000","2","1","45","80","","","","","1","","",""
"https://www.lamudi.co.id/2-lantai-cuma-600-jutaan-166979350743.html","2 lantai cuma 600 jutaan","Maruyung, Depok","Rp 600.000.000","3","2","63","75","","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-cocok-buat-millennial-dp-cuma-15-juta-rumah-siap-huni-1.html","Rumah minimalis cocok buat millennial DP Cuma 15 juta Rumah siap huni","Jl H Abdul Ghani Pabuaran CItayam Cipayung, Depok","Rp 466.329.438","2","1","40","64","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-milenial-2-lantai-dengan-ruang-kerja-di-lokasi-strategis-sawangan-depok.html","Rumah Milenial 2 Lantai dengan Ruang Kerja di Lokasi Strategis Sawangan Depok","Jl. Raya Bojongsari Sawangan, Depok","Rp 1.628.000.000","3","3","103","96","2","yes","yes","yes","1","","","yes"
"https://www.lamudi.co.id/hunian-2lantai-konsep-modern-tropical-minimalis-lokasi-pinggir-jln-raya-2mobil.html","Hunian 2lantai konsep modern tropical minimalis lokasi pinggir jln raya 2mobil","cimanggis depok Cimanggis, Depok","Rp 1.163.000.000","3","2","69","89","","","","","1","","",""
"https://www.lamudi.co.id/new-cluster-residence-ke-5-free-biaya-berlokasi-di-sawangan-depok.html","New Cluster Residence ke 5 Free biaya berlokasi di Sawangan Depok","Cinangka Sawangan Depok Sawangan, Depok","Rp 625.000.000","2","1","40","65","","","","","1","","",""
"https://www.lamudi.co.id/rumah-ready-didekat-pemda-cibinong.html","Rumah 2 lantai pinggir jalan raya","Depok, Depok","Rp 1.050.000.000","3","3","120","98","","","","yes","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-dikota-depok.html","Rumah siap huni dikota depok","Cilodong, Depok","Rp 735.000.000","2","2","60","70","","","","yes","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-mewah-banget-dekat-alun-alun-kota-d-166496259650.html","Rumah 2 lantai mewah banget,dekat alun-alun kota Depok","Cilodong, Depok","Rp 985.000.000","3","3","80","92","","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-baru-siap-huni-tanpa-dp-free-semua-biaya-sur-166530311655.html","Rumah baru siap huni,tanpa DP free semua biaya surat-surat","Kalimulya, Depok","Rp 650.000.000","2","2","60","87","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/modern-minimalis-tanpa-dp-0-166548276644.html","Modern minimalis tanpa DP 0","Sukmajaya, Depok","Rp 899.000.000","3","3","80","75","","yes","yes","yes","1","","yes",""
