"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_AC","rumah_taman","rumah_keamanan","rumah_balcony","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-2-lt-lokasi-pinggir-pintu-tol-166899326375.html","Rumah 2 Lt lokasi pinggir pintu tol","Cimanggis, Depok","Rp 730.000.000","60","","3","2","60","","","","","","",""
"https://www.lamudi.co.id/diijual-rumah-full-furnished-termurah-di-sawangan-depok-3km-dari-pintu-tol.html","DIIJUAL RUMAH FULL FURNISHED TERMURAH DI SAWANGAN DEPOK 3KM DARI PINTU TOL","Sawangan, Depok","Rp 575.000.000","90","1","2","1","70","1","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/rumah-kpr-dan-cash-di-depok-166866710830.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-dekat-tol-cimanggis-1.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-dekat-rs-hermina-depok-166929746167.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-bangeet-bonus-akhir-tahun-cipayung-dep-167241311282.html","Rumah Murah Bangeet bonus akhir tahun Cipayung Depok","Cipayung, Depok","Rp 165.000.000","40","","1","1","21","","","","","","",""
"https://www.lamudi.co.id/rumah-ready-cinangka-166333189716.html","Rumah Ready Cinangka","Cinangka, Depok","Rp 725.000.000","107","2","2","2","48","1","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-cantik-2-lantai-dekat-pusat-kota-depok-rangkapanjaya-1.html","Rumah cantik 2 Lantai dekat Pusat Kota Depok Rangkapanjaya","Jl. Taklim, Nangka Perumahan Mampang Indah Rangkapanjaya, Kec. Pancor Ad n Mas, Kota Depok, Jawa Barat 16434 Rangkapan Jaya, Depok","Rp 690.000.000","72","1","3","2","60","","","","","","","Tidak"
"https://www.lamudi.co.id/rumah-2lt-dekat-stasiun-bisa-utk-wirausaha-tanpa-d-166523905766.html","Rumah 2lt Dekat Stasiun Bisa Utk WIRAUSAHA Tanpa DP","Jalan Wadas Raya, Depok 16436, Indonesia Pancoran Mas, Depok","Rp 855.000.000","77","1","3","2","70","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-dan-berkwalitas-di-sawangan-bogor.html","Rumah Tanpa DP dan berkwalitas di sawangan Bogor","Sawangan, Depok","Rp 594.000.000","60","","2","1","45","","","yes","","","",""
"https://www.lamudi.co.id/j-r-2-1-l-s-j-165880940472.html","Jᴜᴀʟ Rᴜᴍᴀʜ 2 ʟᴀɴᴛᴀɪ ʜᴀʀɢᴀ 1 Lᴀɴᴛᴀɪ ᴅɪ Sᴇʟᴀᴛᴀɴ Jᴀᴋᴀʀᴛᴀ","Sawangan Baru, Depok","Rp 500.000.000","60","","2","1","45","","yes","","yes","yes","",""
"https://www.lamudi.co.id/ga-mau-rumah-tapa-dp-di-depok-selatan-jakarta-166174247116.html","Ga Mau Rumah Tapa DP Di Depok Selatan Jakarta","Bojongsari, Depok","Rp 594.000.000","60","","2","1","45","","yes","yes","yes","yes","",""
