"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_taman","rumah_keamanan","rumah_balcony","rumah_AC","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-2-lantai-500-jt-an-sawangan-depok-20-menit-s-166590965422.html","Rumah 2 Lantai 500 Jt an Sawangan Depok 20 Menit St. Citayam","Jl. Raya Pengasinan No.8, RT.3/RW.3, Pengasinan, Kec. Sawangan, Kota Depok Depok, Depok","Rp 503.000.000","50","1","2","2","40","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-10-menit-tol-cijago-166574966949.html","Rumah 2 lantai 10 Menit Tol Cijago","Jl. Komjen.Pol.M.Jasin Jl. Klp. Dua Raya, Pasir Gn. Sel., Kec. Cimanggis, Kota Depok Tanah Baru, Depok","Rp 1.600.000.000","72","1","3","2","80","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-10-menit-tol-cisalak-2-166849896153.html","Rumah 2 Lantai 10 Menit Tol Cisalak 2","Jl. Putri Tunggal No.9, Harjamukti, Kec. Cimanggis, Kota Depok Beji, Depok","Rp 990.000.000","65","1","3","2","80","","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-akses-2-mobil-dlm-perumahan-di-cine-16657943274.html","Rumah 2 lantai akses 2 mobil dlm perumahan di Cinere Depok","Megapolitan Cinere Depok Cinere, Depok","Rp 1.750.000.000","100","2","4","3","130","2","yes","yes","yes","","",""
"https://www.lamudi.co.id/cluster-2-lantai-dengan-fasilitas-lengkap-di-tapos-167188758732.html","Cluster 2 lantai dengan fasilitas lengkap di Tapos Depok","Jalan Raya Tapos, Depok 16467, Indonesia Tapos, Depok","Rp 676.000.000","64","1","3","2","56","2","yes","yes","yes","","",""
"https://www.lamudi.co.id/new-townhouse-di-selatan-jakarta-kemudahan-akses-t-166782179599.html","New townhouse di Selatan Jakarta, kemudahan akses tol harga all in","Bojongsari Baru, Depok","Rp 1.500.000.000","84","1","3","3","104","","","","","","",""
"https://www.lamudi.co.id/new-townhouse-di-selatan-jakarta-kemudahan-akses-t-166782179599.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/cluster-2-lantai-dengan-fasilitas-lengkap-di-tapos-167188758732.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/brand-new-cluster-in-town-best-location-best-price-167229908711.html","brand new cluster in town, best location best price","Beji, Depok","Rp 750.000.000","60","","3","2","61","","","","","","",""
"https://www.lamudi.co.id/rumah-milenial-dekat-ke-tol-ciputat-dan-terminal-p-167229907285.html","rumah milenial dekat ke tol ciputat dan terminal pondok cabe","Bojongsari, Depok","Rp 750.000.000","76","","3","2","60","","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-beji-kukusan-belakang-kampus-ui-167229907453.html","Rumah dijual di Beji kukusan belakang kampus UI","Beji, Depok","Rp 1.000.000.000","150","","3","2","100","","","","","","",""
"https://www.lamudi.co.id/tanpa-dp-sawangan-depok-2-lantai-166763284143.html","TANPA DP SAWANGAN DEPOK 2 LANTAI","Kav.Kehakiman Rt. 001 Rw. 006 Kel, Bedahan, Kec. Sawangan, Kota Depok, Jawa Barat 16519 Sawangan, Depok","Rp 537.200.000","50","1","3","2","44","","yes","yes","","yes","",""
"https://www.lamudi.co.id/dijual-rumah-2-lantai-5-menit-gerbang-tol-sawangan-166295829251.html","Dijual Rumah 2 Lantai 5 Menit Gerbang Tol Sawangan di Kavling Adhi Karya Depok","Kavling Adhi Karya Pancoran Mas, Depok","Rp 1.200.000.000","180","2","4","3","356","2","yes","","yes","yes","",""
"https://www.lamudi.co.id/hunian-cantik-terawat-halaman-luas-dan-siap-huni-16590726649.html","Hunian cantik, terawat, halaman luas dan siap huni","Depok, Depok","Rp 4.000.000.000","515","","4","2","180","","","","","","",""
"https://www.lamudi.co.id/rumah-cluster-2-lantai-di-pusat-kota-depok-ny.html","Rumah Cluster 2 Lantai Di Pusat Kota Depok (Ny)","Margonda Raya Margonda, Depok","Rp 1.529.200.000","118","","3","2","61","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-angsuran-mulai-dari-8jtan.html","Rumah 2 lantai Angsuran mulai dari 8jtan","Cilodong, Depok","Rp 1.200.000.000","98","","3","2","100","","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/rumah-dp-0-dua-lantai-free-mezzanine-167108805326.html","Rumah DP 0% Dua lantai free mezzanine","Sukmajaya, Depok","Rp 630.000.000","55","","2","2","55","","yes","yes","yes","yes","yes",""
"https://www.lamudi.co.id/rumah-minimalis-harga-terjangkau-167178195210.html","Rumah Minimalis harga terjangkau","Citayam, Depok","Rp 330.000.000","72","","2","1","36","","","","","","",""
"https://www.lamudi.co.id/rumah-1-lantai-akses-strategis-dekat-toll-sawangan-167031262550.html","Rumah 1 Lantai Akses Strategis Dekat Toll Sawangan","Rangkapan Jaya Baru Rangkapan Jaya Baru, Depok","Rp 570.000.000","63","1","2","1","45","","","yes","","","",""
"https://www.lamudi.co.id/rumah-1-lantai-akses-strategis-dekat-toll-sawangan-16703141538.html","Rumah 1 Lantai Akses Strategis Dekat Toll Sawangan","Pancoran Mas Pancoran Mas, Depok","Rp 570.000.000","63","1","2","1","45","","","yes","","","",""
"https://www.lamudi.co.id/rumah-1-lantai-akses-strategis-dekat-toll-sawangan-16703146012.html","Rumah 1 Lantai Akses Strategis Dekat Toll Sawangan","Rangkapan Jaya Rangkapan Jaya, Depok","Rp 570.000.000","63","1","2","1","45","","","yes","","","",""
"https://www.lamudi.co.id/dmilenial-h-o-m-e-bizz-depok.html","d'Milenial H.O.M.E.Bizz Depok","Depok","Rp 1.700.000.000","64","1","5","3","140","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/dapatkan-rumah-tanpa-dp-2-lantai-cicilan-murah-167204092542.html","Dapatkan Rumah Tanpa DP 2 Lantai Cicilan Murah","Jalan Panggulan, Depok 16518, Indonesia Sawangan, Depok","Rp 439.000.000","50","1","3","2","44","","","yes","","yes","",""
"https://www.lamudi.co.id/rumah-baru-di-sawangan-depok-2-lantai-tanpa-dp-167204336912.html","Rumah Baru di Sawangan Depok 2 Lantai Tanpa DP","Jalan Desa Bedahan, Depok 16434, Indonesia Sawangan, Depok","Rp 561.000.000","50","1","3","2","44","","","","","yes","",""
"https://www.lamudi.co.id/rumah-baru-asri-di-depok-harga-terjangkau-166782287735.html","Rumah Baru Asri di Depok Harga Terjangkau","Jl. Muchtar Raya Sawangan, Depok","Rp 895.000.000","84","","2","1","50","","","","","","",""
"https://www.lamudi.co.id/cluster-mewah-minimalis-deket-tol-andara-dan-mrt-fatmawati.html","Cluster mewah minimalis Deket tol Andara dan MRT Fatmawati","Cinere, Depok","Rp 1.705.000.000","81","1","3","2","87","2","yes","yes","","","",""
