"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_lahan_parkir","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/dk100-cluster-one-gate-clasic-eropa-mulai-hrg-500j-166912917558.html","Dk100.Cluster One Gate Clasic Eropa Mulai hrg 500Jt-an nempel jl Ray","Leuwinanggung Cimanggis Depok Cimanggis, Depok","Rp 595.000.000","3","2","60","52","","","","","","1","",""
"https://www.lamudi.co.id/nik145-dp-0-free-biaya-biaya-hanya-3-juta-all-in-d-167077323439.html","Nik145.Dp 0% Free Biaya-Biaya Hanya 3 Juta All in Di Cilodong Depok","Cilodong, Depok, JABODETABEK, Indonesia Cilodong, Depok","Rp 725.000.000","3","2","56","66","","","","","","1","",""
"https://www.lamudi.co.id/mus-rumah-sultan-2-lt-hrg-promo-780juta-tanpa-dp-f-167232507817.html","Mus.Rumah Sultan 2 Lt Hrg Promo 780juta tanpa DP Free Biaya di Depok","Sawangan Arco depok Sawangan, Depok","Rp 780.000.000","3","2","73","72","","","","","","1","",""
"https://www.lamudi.co.id/rumah-2-lantai-dp-0-daerah-depok-166909224445.html","Rumah 2 lantai Dp 0% daerah Cilangkap-Depok.²","Depok, Depok","Rp 677.000.000","2","2","46","60","","","yes","yes","","","",""
"https://www.lamudi.co.id/dijual-rumah-strategis-dekat-stasiun-ka-depok-gran-167156824230.html","Dijual Rumah Strategis Dekat Stasiun KA Depok, Grand Depok City","Sukmajaya, Depok","Rp 2.280.000.000","4","4","200","180","","","yes","yes","","","",""
"https://www.lamudi.co.id/nirwana-cipayung-griya-vitara-indah-pancoran-mas-k-167156900438.html","Nirwana Cipayung Griya Vitara Indah Pancoran Mas, Kota Depok","Pancoran Mas, Depok","Rp 660.000.000","3","1","45","80","","","","yes","","","",""
"https://www.lamudi.co.id/341-townhouse-ekslusiv-2lantai-dp-cuma-1-7jt-harga-16601348270.html","341.Townhouse ekslusiv 2lantai Dp cuma 1,7jt harga Perdana free biaya2","Pekapuran cimanggis depok Cimanggis, Depok","Rp 835.250.000","2","2","51","73","","","","","","1","",""
"https://www.lamudi.co.id/ec-rumah-gaya-bali-industrial-tropical-kualitas-ba-166230599516.html","Ec.Rumah Gaya Bali Industrial Tropical kualitas bata merah Strategis","kalimulya cilodong depok Cilodong, Depok","Rp 769.950.000","3","2","60","60","","","","","","1","",""
"https://www.lamudi.co.id/415-rumah-2lantai-termurah-di-dtapos-depok-hanya-5-166357005088.html","415.Rumah 2lantai termurah di DTapos Depok Hanya 500 Jutaan","Tapos, Depok","Rp 556.000.000","2","2","46","40","","","","","","","",""
"https://www.lamudi.co.id/365-hunian-modern-2lantai-dgn-tanah-luas-harga-ter-166437768388.html","365.Hunian Modern 2lantai dgn Tanah Luas Harga termurah di Kelasnya","Parakan Cinangka Sawangan Depok Sawangan, Depok","Rp 935.000.000","3","2","85","112","","","","","","1","",""
"https://www.lamudi.co.id/ps-hunian-2-lantai-hrg-mulai-500-jutaan-dp-0-dan-f-166549891187.html","Ps.Hunian 2 Lantai Hrg Mulai 500 Jutaan Dp 0% dan Free biaya all in","Cilodong Depok Cilodong, Depok","Rp 570.000.000","2","2","50","40","","","","","","1","",""
"https://www.lamudi.co.id/455-rumah-2-lantai-konsep-maroko-mediterania-dp-10-166571396538.html","455.Rumah 2 Lantai konsep Maroko Mediterania Dp 10 jt akad Free biaya","Parakan, Cinangka sawangan (perbatasan pondok cabe Tangsel)⁣ ⁣ Sawangan, Depok","Rp 822.000.000","3","2","70","63","","","","","","1","",""
